env_name,delta,threshold_idx,opt_budget,opt_utd,opt_critic_params,data_efficiency,compute
acrobot-swingup,200000000000.0,0,1.6791265245373766e+16,11.745974085241398,529064.8741978852,77770.16866222434,1237231512928898.0
acrobot-swingup,200000000000.0,1,1.7756370507666732e+16,233.30077444363368,20846.294219210562,83578.87970119259,1040594567428214.5
acrobot-swingup,200000000000.0,2,7604754383213884.0,3374.999999999999,240.35124291388203,37633.021714977265,78150040218431.11
acrobot-swingup,200000000000.0,3,1.2275162427993476e+16,3374.999999999999,1470.1282027333243,57710.63627198271,733035173596933.1
acrobot-swingup,200000000000.0,4,1.9952220843960784e+16,2572.0020458480685,2311.9711919696733,92704.97177958964,1411226488042855.8
acrobot-swingup,200000000000.0,5,1.911195307847401e+16,3225.571693709686,1904.2046193651265,88594.50927751506,1393051222970997.8
acrobot-swingup,200000000000.0,6,1.276277224699269e+16,3374.999999999999,240.35124291388203,63158.079920972064,131156262798277.8
acrobot-swingup,200000000000.0,7,1.3240636522308424e+16,3374.999999999999,240.35124291388203,65522.84750498032,136067021312360.58
acrobot-swingup,200000000000.0,8,3.242182503466087e+16,194.6470691389987,9592.98238986607,158325.0383914644,756817356367995.2
acrobot-swingup,200000000000.0,9,4.297871679426415e+16,16.87429594640347,887617.2611918827,180322.61400059573,6914193994145006.0
acrobot-swingup,200000000000.0,10,5.152811744511438e+16,12.290119799537669,887617.2611918827,226073.05527150695,6313506390812996.0
acrobot-swingup,200000000000.0,11,5.101135192217103e+16,14.078531276136333,200523.33039695333,246161.6239302833,1779027136114374.8
acrobot-swingup,200000000000.0,12,5.4007204082911976e+16,12.290119799537669,154812.67103577347,263615.88532126264,1284027018659447.8
acrobot-swingup,200000000000.0,13,6.099642229412118e+16,6.519541069700457,1308468.7265224897,274958.83900190156,6004654493740870.0
acrobot-swingup,200000000000.0,14,6.225257935849834e+16,6.230888038638101,1308468.7265224897,281849.78508515854,5882622341466632.0
acrobot-swingup,200000000000.0,15,6.696534322280503e+16,8.176217108516953,1489164.0719113315,289680.24461140955,9029294300523122.0
acrobot-swingup,200000000000.0,16,6.8977203283450424e+16,8.951309445250157,1395895.6324728797,297331.62828207616,9510877627035192.0
acrobot-swingup,200000000000.0,17,7.846973851084605e+16,6.519541069700457,1694812.8664605278,343733.6375458026,9723011001685544.0
acrobot-swingup,200000000000.0,18,8.495642801661664e+16,4.748402009726655,2341907.615930409,371852.6095153155,1.0585906113553528e+16
acrobot-swingup,200000000000.0,19,1.0282474404384709e+17,3.6186369432669747,3452290.767458777,443246.3610182921,1.4175471840188666e+16
cheetah-run,200000000000.0,0,4756160528657814.0,103.25445008243658,8992.160416022067,23501.497883509626,55860951955889.16
cheetah-run,200000000000.0,1,4466004328455005.5,383.93175796335834,240.35124291388203,22303.677330775554,5268862299894.629
cheetah-run,200000000000.0,2,5366293458810502.0,14.730735376188045,731066.587187812,23580.94901830679,650103655149144.5
cheetah-run,200000000000.0,3,6880833499678098.0,11.745974085241398,1808053.8190917398,27050.744033753534,1470684692927390.5
cheetah-run,200000000000.0,4,6817256481104240.0,31.81007934407871,1395895.6324728797,21733.635099744213,2470529461155397.5
cheetah-run,200000000000.0,5,1.0338008979335274e+16,11.225920451674721,1077691.7125927622,44758.88756219056,1386231466897162.0
cheetah-run,200000000000.0,6,9855061525543440.0,71.87405618026095,15086.234580907418,48600.770076724344,134907510198572.84
cheetah-run,200000000000.0,7,9689360140531942.0,551.5573302036197,240.35124291388203,48364.732335771376,16413673377666.664
cheetah-run,200000000000.0,8,1.2010142884228078e+16,78.68760203109467,39803.83122935024,57736.04903338004,462933077552069.3
cheetah-run,200000000000.0,9,1.8324181824907016e+16,9.365989116482591,946924.4721639092,82280.3072068354,1868120383539939.0
cheetah-run,200000000000.0,10,2.2466639993826516e+16,8.951309445250157,887617.2611918827,101963.48215349825,2073943563126867.2
cheetah-run,200000000000.0,11,2.789782634904429e+16,14.078531276136333,564414.9777659584,126611.41920215811,2575542508612665.5
cheetah-run,200000000000.0,12,3.4236847493207104e+16,7.814214656846571,1395895.6324728797,150211.6560355237,4194516286102368.0
cheetah-run,200000000000.0,13,4.122706326514736e+16,7.4682398831690895,1149698.9758085757,185723.60243070257,4082342779006850.0
cheetah-run,200000000000.0,14,5.2541702354636904e+16,7.137583161180438,1808053.8190917398,225464.92539467933,7448717275701043.0
cheetah-run,200000000000.0,15,6.442252000028229e+16,4.1452072244798615,3236068.943119849,274910.13001483196,9440493997315894.0
cheetah-run,200000000000.0,16,7.81524810667814e+16,4.748402009726655,2498384.979685676,339247.4423460679,1.0302992597567826e+16
cheetah-run,200000000000.0,17,9.45969012902746e+16,4.337238700941637,2843403.953137494,408500.187548279,1.2896863780618786e+16
cheetah-run,200000000000.0,18,1.149245381820977e+17,2.5188852853188384,5791941.641364086,484201.7729566269,1.808418359077232e+16
cheetah-run,200000000000.0,19,1.3392254688922752e+17,1.9195786983990077,7502095.400981401,565393.21494489,2.084390390024952e+16
finger-turn,200000000000.0,0,6314416825685248.0,7.814214656846571,1395895.6324728797,27704.040463215733,773608733042101.2
finger-turn,200000000000.0,1,6965444248525071.0,11.225920451674721,1395895.6324728797,29008.694186096734,1163705411305724.2
finger-turn,200000000000.0,2,1.1313244780245124e+16,9.799879298845852,1808053.8190917398,46108.77729479475,2091489321286173.0
finger-turn,200000000000.0,3,1.2234548290946078e+16,8.554989738736316,1928861.1016739465,50505.15591989806,2133517106966465.8
finger-turn,200000000000.0,4,1.2721115046134632e+16,20.225253480059905,946924.4721639092,51082.953023330425,2504524441468548.0
finger-turn,200000000000.0,5,1.0562551475535918e+16,22.14257524057811,685278.859026276,44223.45152163399,1717861171209119.2
finger-turn,200000000000.0,6,1.4252362174587108e+16,18.473952279183717,1489164.0719113315,52703.0781268763,3711746549211848.5
finger-turn,200000000000.0,7,1.3862998168477112e+16,26.53972636040212,1395895.6324728797,47018.79210300571,4459239747875971.0
finger-turn,200000000000.0,8,1.4403898082309608e+16,24.24165604490662,1395895.6324728797,50253.042439046185,4353289594500371.5
finger-turn,200000000000.0,9,1.7767343944209906e+16,16.87429594640347,1226517.4906051934,70231.27924857626,3721088094494654.5
finger-turn,200000000000.0,10,2.142187174969888e+16,9.799879298845852,1395895.6324728797,91149.22191406807,3192027366885269.0
finger-turn,200000000000.0,11,2.418763313687502e+16,11.225920451674721,1489164.0719113315,99621.16512678372,4263400111518277.5
finger-turn,200000000000.0,12,2.329911262060372e+16,25.364678550196707,1149698.9758085757,84830.757719331,6332961076737519.0
finger-turn,200000000000.0,13,2.3853657412300148e+16,33.28371773463617,1226517.4906051934,78335.32361621156,8186592689057835.0
finger-turn,200000000000.0,14,1.9440947412690036e+16,71.87405618026095,564414.9777659584,63981.84607892266,6644578196905504.0
finger-turn,200000000000.0,15,3.1866550671134224e+16,30.401686372420617,1077691.7125927622,112255.59934587665,9415430801958898.0
finger-turn,200000000000.0,16,4.354166597658546e+16,16.127185586962728,1308468.7265224897,171409.77082720096,9259711811145266.0
finger-turn,200000000000.0,17,5.179955117669555e+16,13.455203547647976,1226517.4906051934,213828.7884413827,9033793488419020.0
finger-turn,200000000000.0,18,7.409581222566728e+16,12.290119799537669,1226517.4906051934,310557.64639977383,1.1984282945712514e+16
finger-turn,200000000000.0,19,1.3260721618964624e+17,18.473952279183717,564414.9777659584,584963.7301779487,1.5614470154056504e+16
fish-swim,200000000000.0,0,4536633894625732.0,0.004444444444444443,694152152.312279,21821.450335454356,172343827534860.94
fish-swim,200000000000.0,1,1.3068394525464666e+16,7.814214656846571,1928861.1016739465,54774.427546773615,2113509016109942.2
fish-swim,200000000000.0,2,1.7260314618210894e+16,25.364678550196707,240.35124291388203,86294.83913111765,1346791987364.8293
fish-swim,200000000000.0,3,2.1166742058779468e+16,7.137583161180438,1308468.7265224897,94532.94893520075,2260152271739317.5
fish-swim,200000000000.0,4,2.302719649468652e+16,12.859473687820891,832024.5442229974,101267.20653562152,2773755187562218.0
fish-swim,200000000000.0,5,2.968515805367702e+16,14.078531276136333,1395895.6324728797,118593.79866186103,5966398321304811.0
fish-swim,200000000000.0,6,3.296891158431897e+16,3.6186369432669747,2341907.615930409,148713.08832478392,3226293919362182.0
fish-swim,200000000000.0,7,3.891865169122737e+16,3.3052997961935744,1694812.8664605278,181573.7205197247,2603907587282425.0
fish-swim,200000000000.0,8,4.644735290106799e+16,5.198542944173447,1928861.1016739465,205819.97251785293,5283358397497405.0
fish-swim,200000000000.0,9,4.7974123803746744e+16,3.3052997961935744,1928861.1016739465,221772.6528116848,3619593241409782.5
fish-swim,200000000000.0,10,4.893330720738031e+16,2.3007754441048665,2341907.615930409,228880.8513955568,3157136928268952.5
fish-swim,200000000000.0,11,5.4958769073797064e+16,2.3007754441048665,2341907.615930409,257064.37138925394,3545894795946279.0
fish-swim,200000000000.0,12,5.8783908108012824e+16,0.8495687310332362,4191564.666684126,281106.40554158867,2562626999695087.5
fish-swim,200000000000.0,13,6.329153282775943e+16,1.1148103368991433,3452290.767458777,301600.0285663322,2971527114492994.0
fish-swim,200000000000.0,14,7.283428178616139e+16,2.5188852853188384,2195230.649458542,340099.8116997288,4814319446215647.0
fish-swim,200000000000.0,15,8.598316591385512e+16,1.9195786983990077,2843403.953137494,401841.5092524092,5614864063373283.0
fish-swim,200000000000.0,16,9.848375452365562e+16,5.439371405323501,1588664.3538979783,443377.2200610093,9808310511453756.0
fish-swim,200000000000.0,17,1.171770695424285e+17,4.1452072244798615,1928861.1016739465,531491.0780912825,1.0878853924172004e+16
fish-swim,200000000000.0,18,1.4645204049022752e+17,2.407361504007793,2195230.649458542,685865.2996043878,9278980569349968.0
fish-swim,200000000000.0,19,2.056895321662584e+17,6.230888038638101,685278.859026276,975151.1022330261,1.0659311719653182e+16
hopper-hop,200000000000.0,0,6134306584575638.0,3374.999999999999,240.35124291388203,30356.337794844236,63039025606790.57
hopper-hop,200000000000.0,1,1145858509173412.2,3374.999999999999,240.35124291388203,5670.415635408127,11775382091786.764
hopper-hop,200000000000.0,2,1257612192620060.8,3374.999999999999,240.35124291388203,6223.441885034228,12923815613215.3
hopper-hop,200000000000.0,3,1316471045074763.0,3374.999999999999,240.35124291388203,6514.711840765571,13528676921648.736
hopper-hop,200000000000.0,4,1500061686408944.8,3374.999999999999,240.35124291388203,7423.23172764665,15415340879614.773
hopper-hop,200000000000.0,5,1.4753442309990322e+16,50.03057928911487,832024.5442229974,48125.11930478513,5128418449033296.0
hopper-hop,200000000000.0,6,1.2033024345867264e+16,86.14706115757517,564414.9777659584,37084.7001272967,4616084320407924.0
hopper-hop,200000000000.0,7,1.5232663182328552e+16,59.96582915758636,685278.859026276,49910.611941730946,5250540793982363.0
hopper-hop,200000000000.0,8,1698538481804794.8,3374.999999999999,240.35124291388203,8405.417499160614,17454981972672.121
hopper-hop,200000000000.0,9,2.0863609030263936e+16,41.74142005818896,642358.8806524297,77663.47235964035,5330914558335868.0
hopper-hop,200000000000.0,10,1.559144793621024e+16,78.68760203109467,602127.0408653036,48527.25073236988,5885997789736265.0
hopper-hop,200000000000.0,11,1.8901815020998856e+16,52.348303226386115,832024.5442229974,60679.7917069013,6765856679618596.0
hopper-hop,200000000000.0,12,2.1305455891453064e+16,103.25445008243658,165156.66516893444,87440.68651551346,3817318588350374.0
