env_name,delta,threshold_idx,opt_budget,opt_utd,opt_critic_params,data_efficiency,compute
dog-run,200000000000.0,0,3.0386103935119976e+16,8.176217108516953,2828979.339144444,117224.1460323227,6941274728655435.0
dog-run,200000000000.0,1,3.693074881008786e+16,8.176217108516953,3150770.5972872134,138863.95054147602,9157958701792652.0
dog-run,200000000000.0,2,4.257466024917019e+16,11.745974085241398,1742160.8026875644,168688.51476408666,8836957296352863.0
dog-run,200000000000.0,3,5.005899419609855e+16,8.951309445250157,1838576.6589720878,206742.8937515391,8710415445790739.0
dog-run,200000000000.0,4,5.631497022761249e+16,5.439371405323501,4124623.4335582107,218754.54220659414,1.2564061786293662e+16
dog-run,200000000000.0,5,6.2098246965020744e+16,3.7862744478266843,5116327.326592854,248799.16969773825,1.2338413025473094e+16
dog-run,200000000000.0,6,6.665243147710764e+16,4.538166255682519,4352891.168421859,266002.5929007406,1.3451912896959514e+16
dog-run,200000000000.0,7,7.530722003617078e+16,3.9616779519535266,4593791.852600542,305394.7613132138,1.4228267773528032e+16
dog-run,200000000000.0,8,8.00861516043197e+16,3.7862744478266843,4352891.168421859,330672.1921336877,1.3951713177582152e+16
dog-run,200000000000.0,9,8.9097281591264e+16,4.337238700941637,4352891.168421859,358783.51584198436,1.734057842286712e+16
dog-run,200000000000.0,10,9.526002353468797e+16,3.7862744478266843,4352891.168421859,393324.4409164857,1.659513535139084e+16
dog-run,200000000000.0,11,1.0180156005411565e+17,4.9683771760770625,3703371.6403643284,411979.6795897795,1.9405624136159748e+16
dog-run,200000000000.0,12,1.0810758600477846e+17,4.538166255682519,3325142.7015297646,453033.34172279877,1.7500917660218698e+16
dog-run,200000000000.0,13,1.1610222274610539e+17,4.748402009726655,3150770.5972872134,487209.35099194903,1.8660352547715584e+16
dog-run,200000000000.0,14,1.2820181492632923e+17,4.538166255682519,3325142.7015297646,537239.7884125869,2.0753857243811856e+16
dog-run,200000000000.0,15,1.3534320155219472e+17,5.69135652100594,3150770.5972872134,550385.1953879195,2.526616247461081e+16
dog-run,200000000000.0,16,1.4336674272654995e+17,5.439371405323501,3150770.5972872134,587872.621557442,2.579221841506156e+16
dog-run,200000000000.0,17,1.491801246857291e+17,5.439371405323501,2985542.651195814,617536.2709734581,2.567287049103747e+16
dog-run,200000000000.0,18,1.5463043052207354e+17,6.519541069700457,2828979.339144444,625487.8141855655,2.953286768496046e+16
dog-run,200000000000.0,19,1.600306354634233e+17,6.519541069700457,2680626.283500128,653880.928789416,2.9254449705540092e+16
dog-stand,200000000000.0,0,1.7439894172559744e+16,7.4682398831690895,3908326.1699890937,63481.9501207592,4743504148407904.0
dog-stand,200000000000.0,1,2.184452423563453e+16,5.198542944173447,4848024.627427105,82582.11722824989,5328100789984549.0
dog-stand,200000000000.0,2,2.629311789403557e+16,5.439371405323501,4124623.4335582107,102135.1684080897,5866084212417627.0
dog-stand,200000000000.0,3,3.0877936243252956e+16,5.198542944173447,3703371.6403643284,123865.76846711121,6104782549830716.0
dog-stand,200000000000.0,4,3.5504036174060732e+16,4.337238700941637,3325142.7015297646,149856.54294421306,5532727585218121.0
dog-stand,200000000000.0,5,4.091336185858312e+16,4.1452072244798615,3703371.6403643284,170971.59111079978,6719043636423162.0
dog-stand,200000000000.0,6,4.201167853713557e+16,3.6186369432669747,4124623.4335582107,176364.54753128107,6738769030879348.0
dog-stand,200000000000.0,7,4.744776920023376e+16,3.7862744478266843,3703371.6403643284,201138.2745228304,7220114295667681.0
dog-stand,200000000000.0,8,4.976215805001212e+16,2.757671591485648,5698300.261040803,207145.58496126943,8333041057758230.0
dog-stand,200000000000.0,9,5.4376014218402e+16,2.6355755336425064,6013659.496644661,226025.58128087004,9170897962227994.0
dog-stand,200000000000.0,10,5.4945380344394584e+16,2.5188852853188384,6013659.496644661,230110.57854097607,8923264636199371.0
dog-stand,200000000000.0,11,5.8290437517861144e+16,2.101551696319463,7459553.801973394,242743.1189255364,9741813732753866.0
dog-stand,200000000000.0,12,6.373333698898763e+16,2.3007754441048665,5698300.261040803,272874.3988890548,9158457211176684.0
dog-stand,200000000000.0,13,6.6988470686733384e+16,2.0085053820787095,6013659.496644661,290092.74363159714,8969921960413952.0
dog-stand,200000000000.0,14,7.123494920245927e+16,2.1989084877294793,6346471.55904332,302194.3776940492,1.0796073663649434e+16
dog-stand,200000000000.0,15,7.9299533077196e+16,2.407361504007793,4848024.627427105,344964.1197292661,1.0306709131342778e+16
dog-stand,200000000000.0,16,8.675973617051674e+16,1.8345892484159791,4848024.627427105,389460.57538441056,8867621093634616.0
dog-stand,200000000000.0,17,9.640800750362744e+16,2.0085053820787095,3908326.1699890937,438027.61613831745,8802484275963951.0
dog-stand,200000000000.0,18,1.2196895654150726e+17,1.9195786983990077,4848024.627427105,544932.9624712903,1.2982364047249212e+16
dog-stand,200000000000.0,19,1.476529827336473e+17,0.004444444444444443,39619727.093914784,736604.6640247299,332049928701321.4
dog-trot,200000000000.0,0,3.6309362129897624e+16,11.225920451674721,1650801.0409083823,146739.29077261526,6961503975374571.0
dog-trot,200000000000.0,1,4.123613256763376e+16,17.656017049682553,1016607.2359426203,167660.60469906943,7704011627819871.0
dog-trot,200000000000.0,2,5.003185256741247e+16,8.176217108516953,2280634.8637309866,201956.13729011762,9640625109388946.0
dog-trot,200000000000.0,3,5.662236439773113e+16,5.439371405323501,3703371.6403643284,225077.1655957087,1.1606931278589384e+16
dog-trot,200000000000.0,4,5.969060537359035e+16,5.69135652100594,3509165.0261863945,237689.881374659,1.2152629098658552e+16
dog-trot,200000000000.0,5,6.598882900870989e+16,4.9683771760770625,3509165.0261863945,269745.9745765925,1.2039634093391384e+16
dog-trot,200000000000.0,6,7.088859057897368e+16,4.1452072244798615,4124623.4335582107,290801.8513693182,1.2728220305110038e+16
dog-trot,200000000000.0,7,7.541926579020098e+16,4.538166255682519,3509165.0261863945,313243.9776558749,1.2770470259025986e+16
dog-trot,200000000000.0,8,7.86571505107215e+16,4.337238700941637,3908326.1699890937,323166.0819146306,1.4023934127795378e+16
dog-trot,200000000000.0,9,8.499547232112246e+16,3.9616779519535266,4352891.168421859,348132.98075926024,1.536887616927041e+16
dog-trot,200000000000.0,10,9.351926742598597e+16,4.538166255682519,3908326.1699890937,381080.12910377065,1.730324160523184e+16
dog-trot,200000000000.0,11,9.800709078073472e+16,4.9683771760770625,3703371.6403643284,396623.88116557314,1.868231454762009e+16
dog-trot,200000000000.0,12,1.0484549114756613e+17,4.748402009726655,3703371.6403643284,427909.6053375026,1.9263570080065604e+16
dog-trot,200000000000.0,13,1.0948762309735978e+17,6.230888038638101,3325142.7015297646,432689.6863668318,2.294968582399341e+16
dog-trot,200000000000.0,14,1.1529510594762035e+17,5.69135652100594,2828979.339144444,477970.83404061664,1.9700939139497016e+16
dog-trot,200000000000.0,15,1.2470917369524254e+17,5.955015136031214,2985542.651195814,507951.13363735337,2.3118946967771868e+16
dog-trot,200000000000.0,16,1.2872157030215507e+17,5.439371405323501,3150770.5972872134,527820.3685554255,2.3157496591069964e+16
dog-trot,200000000000.0,17,1.3642334470915992e+17,5.955015136031214,2985542.651195814,555663.9543531893,2.529055383852205e+16
dog-trot,200000000000.0,18,1.378632394991551e+17,6.519541069700457,2985542.651195814,551830.8917431307,2.7497061150528964e+16
dog-trot,200000000000.0,19,1.4307384214573083e+17,6.519541069700457,2828979.339144444,578740.8370313562,2.73256747394596e+16
dog-walk,200000000000.0,0,3.732540951455716e+16,10.253869941289716,1132244.4613420605,162481.26571748938,4829156371059285.0
dog-walk,200000000000.0,1,4.257736686639426e+16,8.951309445250157,1940328.4276067936,174166.69599510153,7744027667373952.0
dog-walk,200000000000.0,2,4.906905830672443e+16,5.69135652100594,2828979.339144444,203422.1533662314,8384627633478149.0
dog-walk,200000000000.0,3,5.148172492563104e+16,5.439371405323501,3325142.7015297646,209018.77524570227,9677969876490588.0
dog-walk,200000000000.0,4,5.580781266719357e+16,4.9683771760770625,3703371.6403643284,225848.05939137802,1.063820078891797e+16
dog-walk,200000000000.0,5,6.174122507466159e+16,4.9683771760770625,3325142.7015297646,254820.8838687055,1.0777048300920486e+16
dog-walk,200000000000.0,6,6.558936171485271e+16,4.1452072244798615,3703371.6403643284,274089.368922823,1.0771487930288112e+16
dog-walk,200000000000.0,7,6.9441167930639784e+16,4.9683771760770625,3509165.0261863945,283858.28026611713,1.266951187741636e+16
dog-walk,200000000000.0,8,7.50885914324568e+16,4.538166255682519,3325142.7015297646,314664.6480516197,1.2155661822132854e+16
dog-walk,200000000000.0,9,8.00538552998785e+16,4.337238700941637,3325142.7015297646,337893.8086301517,1.247509357384816e+16
dog-walk,200000000000.0,10,8.558980816743869e+16,4.337238700941637,3325142.7015297646,361260.1311115595,1.3337781945126778e+16
dog-walk,200000000000.0,11,8.937130486694011e+16,4.337238700941637,2680626.283500128,388970.20904340106,1.1577263058259904e+16
dog-walk,200000000000.0,12,9.525112102301114e+16,4.748402009726655,2540052.9344144543,412562.8118372969,1.2738558655551766e+16
dog-walk,200000000000.0,13,1.011772131587418e+17,5.198542944173447,2406851.3202829524,436050.36118192156,1.396714092235748e+16
dog-walk,200000000000.0,14,1.0726445492747144e+17,5.198542944173447,2540052.9344144543,458779.952118776,1.550846450371624e+16
dog-walk,200000000000.0,15,1.121411967966467e+17,6.519541069700457,2161037.2596898866,475038.1579275626,1.7133565211134194e+16
dog-walk,200000000000.0,16,1.2100368675682026e+17,6.230888038638101,2161037.2596898866,516071.31368964136,1.7789424018891988e+16
dog-walk,200000000000.0,17,1.28661659164005e+17,5.439371405323501,2047711.4123073525,563036.3374220193,1.605439167960112e+16
dog-walk,200000000000.0,18,1.4074866348789306e+17,5.439371405323501,1838576.6589720878,623880.9548247722,1.5972472522938616e+16
dog-walk,200000000000.0,19,1.5282427822036086e+17,6.519541069700457,1564232.2295738887,675893.3928195097,1.7645599656458908e+16
humanoid-run,200000000000.0,0,3.709646950949462e+16,8.951309445250157,2195230.649458542,148205.37370499616,7455394768495395.0
humanoid-run,200000000000.0,1,3.991519053495088e+16,8.176217108516953,2195230.649458542,162290.76386283775,7457037762383331.0
humanoid-run,200000000000.0,2,4.339144417395652e+16,8.176217108516953,2195230.649458542,176424.82788443365,8106478597069789.0
humanoid-run,200000000000.0,3,4.4330477118904504e+16,8.951309445250157,2498384.979685676,172323.5791810259,9865761282699320.0
humanoid-run,200000000000.0,4,4.854387483634537e+16,7.137583161180438,2843403.953137494,192668.61317389808,1.0010152201565752e+16
humanoid-run,200000000000.0,5,5.237442412064075e+16,5.439371405323501,3452290.767458777,211125.53626116613,1.014931686840753e+16
humanoid-run,200000000000.0,6,5.720673182427167e+16,5.198542944173447,3236068.943119849,235354.2621448782,1.013587939529603e+16
humanoid-run,200000000000.0,7,6.189273613449067e+16,4.748402009726655,3929041.078692105,249808.16009151697,1.1931104116187282e+16
humanoid-run,200000000000.0,8,6.494612184915281e+16,5.198542944173447,3682959.712097731,260813.32081630116,1.2783457685892578e+16
humanoid-run,200000000000.0,9,6.932453573245937e+16,4.337238700941637,4471629.082799832,277686.92890203785,1.37871499520518e+16
humanoid-run,200000000000.0,10,7.356496788960014e+16,4.337238700941637,4471629.082799832,294672.4387290085,1.463048014379845e+16
humanoid-run,200000000000.0,11,8.035192201157634e+16,3.7862744478266843,5429184.193479082,318068.80989569443,1.6738160032437452e+16
humanoid-run,200000000000.0,12,8.595512832475451e+16,4.337238700941637,4770406.338490132,339787.37183845724,1.7997653957063068e+16
humanoid-run,200000000000.0,13,9.175512899321366e+16,4.538166255682519,4191564.666684126,368944.392205518,1.7966250552110064e+16
humanoid-run,200000000000.0,14,9.855681653728909e+16,4.337238700941637,4191564.666684126,399759.40833591996,1.860493487010511e+16
humanoid-run,200000000000.0,15,1.0763941052584518e+17,4.337238700941637,4471629.082799832,431161.3056176936,2.140714940230646e+16
humanoid-run,200000000000.0,16,1.1642377804180952e+17,3.7862744478266843,4770406.338490132,472808.2414862868,2.186212974455216e+16
humanoid-run,200000000000.0,17,1.2729347710266086e+17,3.9616779519535266,4191564.666684126,524899.0199680815,2.231367310904456e+16
humanoid-run,200000000000.0,18,1.3650073219650978e+17,4.748402009726655,3682959.712097731,557670.0016817129,2.496673186016718e+16
humanoid-run,200000000000.0,19,1.4360845555553173e+17,4.9683771760770625,3682959.712097731,581778.8207601905,2.725269140349363e+16
humanoid-stand,200000000000.0,0,2.708044216543485e+16,45.698440081270554,408460.93152173434,109290.06545870038,5222429073694773.0
humanoid-stand,200000000000.0,1,3.603629792872736e+16,15.41315357881774,1308468.7265224897,143211.9474199439,7393908444738582.0
humanoid-stand,200000000000.0,2,4.0772033993246424e+16,13.455203547647976,1489164.0719113315,162247.86427788337,8322461137669745.0
humanoid-stand,200000000000.0,3,4.693529374709952e+16,10.253869941289716,1694812.8664605278,191973.27952586403,8540637841926716.0
humanoid-stand,200000000000.0,4,4.937021122161686e+16,11.745974085241398,1588664.3538979783,199257.70519010382,9518670183596098.0
humanoid-stand,200000000000.0,5,5.405471437415206e+16,8.554989738736316,2057740.2676098403,220571.97422332372,9940319529487320.0
humanoid-stand,200000000000.0,6,5.887918832889419e+16,7.137583161180438,2195230.649458542,245215.80160085004,9836028008724182.0
humanoid-stand,200000000000.0,7,6.3483138152739736e+16,6.519541069700457,2341907.615930409,265523.72866787674,1.0378392419164384e+16
humanoid-stand,200000000000.0,8,6.60823854477392e+16,5.69135652100594,2665317.5660130265,276688.2802241635,1.0744729402906508e+16
humanoid-stand,200000000000.0,9,7.28987642283977e+16,5.198542944173447,2843403.953137494,306502.36673482665,1.1598290881432376e+16
humanoid-stand,200000000000.0,10,7.60863194318611e+16,4.538166255682519,3236068.943119849,320234.4175726538,1.2039435917330348e+16
humanoid-stand,200000000000.0,11,8.033543079332208e+16,4.538166255682519,3236068.943119849,338118.20682937274,1.271178942744754e+16
humanoid-stand,200000000000.0,12,8.467180958113051e+16,4.538166255682519,3452290.767458777,352640.9621415777,1.4143617152814972e+16
humanoid-stand,200000000000.0,13,9.2388944862315e+16,4.748402009726655,3236068.943119849,386019.7373258539,1.518499739714423e+16
humanoid-stand,200000000000.0,14,9.947792892889318e+16,5.439371405323501,3236068.943119849,405930.32859336364,1.829186321022047e+16
humanoid-stand,200000000000.0,15,1.0397278743844098e+17,4.538166255682519,3452290.767458777,433025.6313195005,1.7367661174540882e+16
humanoid-stand,200000000000.0,16,1.0983949178552894e+17,4.1452072244798615,3682959.712097731,459420.7310080702,1.7955345583914916e+16
humanoid-stand,200000000000.0,17,1.1803785881436547e+17,4.538166255682519,3452290.767458777,491603.8089577556,1.9717097022814344e+16
humanoid-stand,200000000000.0,18,1.2981834774713062e+17,4.748402009726655,3452290.767458777,536515.4238384526,2.2515262979440108e+16
humanoid-stand,200000000000.0,19,1.5002124976315507e+17,4.538166255682519,3929041.078692105,610720.2212067913,2.78772055217968e+16
humanoid-walk,200000000000.0,0,3.444804945318116e+16,13.455203547647976,1588664.3538979783,135237.79721654562,7400490009872037.0
humanoid-walk,200000000000.0,1,3.988918754985346e+16,11.745974085241398,1694812.8664605278,158944.81032570353,8100225484712752.0
humanoid-walk,200000000000.0,2,4.036947920880921e+16,12.859473687820891,1694812.8664605278,157820.4791582306,8805383377163087.0
humanoid-walk,200000000000.0,3,4.413830125315062e+16,11.745974085241398,1928861.1016739465,171078.51300732294,9922598651686036.0
humanoid-walk,200000000000.0,4,4.764974748396496e+16,8.176217108516953,2195230.649458542,193738.61964338287,8902023555288388.0
humanoid-walk,200000000000.0,5,5.125641463290257e+16,5.69135652100594,3033389.3956253743,209898.5823049602,9276698171910530.0
humanoid-walk,200000000000.0,6,5.662378530268437e+16,5.439371405323501,2665317.5660130265,238804.0681120145,8862971680281460.0
humanoid-walk,200000000000.0,7,5.9673365254067544e+16,5.69135652100594,2665317.5660130265,249853.583454457,9702648563176146.0
humanoid-walk,200000000000.0,8,6.249145348081224e+16,6.821566283319274,2498384.979685676,256501.66010902263,1.1191121459007712e+16
humanoid-walk,200000000000.0,9,6.511057156813466e+16,6.230888038638101,2665317.5660130265,268480.9539047425,1.1414380787186162e+16
humanoid-walk,200000000000.0,10,6.995616557743459e+16,6.821566283319274,2665317.5660130265,283746.03301583714,1.320695897426717e+16
humanoid-walk,200000000000.0,11,7.667634428246773e+16,6.230888038638101,2665317.5660130265,316171.97574963863,1.3441949132539996e+16
humanoid-walk,200000000000.0,12,8.036015419474901e+16,6.230888038638101,3033389.3956253743,323529.5606579098,1.5654242063167052e+16
humanoid-walk,200000000000.0,13,8.707846573302365e+16,5.955015136031214,3033389.3956253743,353627.42304794386,1.6352981123434886e+16
humanoid-walk,200000000000.0,14,9.448216224157682e+16,6.230888038638101,3033389.3956253743,380384.69122330396,1.8405223996916012e+16
humanoid-walk,200000000000.0,15,1.0257444417356216e+17,6.519541069700457,3033389.3956253743,409270.7603953721,2.0720292094487748e+16
humanoid-walk,200000000000.0,16,1.1063591874421413e+17,6.230888038638101,3033389.3956253743,445419.6304496227,2.155199265428958e+16
humanoid-walk,200000000000.0,17,1.1580130728358646e+17,7.4682398831690895,2843403.953137494,455261.5159248953,2.4749004098607416e+16
humanoid-walk,200000000000.0,18,1.2571519839007627e+17,7.814214656846571,2665317.5660130265,496274.1423221504,2.646036992564619e+16
humanoid-walk,200000000000.0,19,1.312129204975109e+17,11.745974085241398,2195230.649458542,493263.27334751724,3.256026582800744e+16
