env_name,delta,threshold_idx,opt_budget,opt_utd,opt_critic_params,data_efficiency,compute
dog-run,100000000000.0,0,3.443760806650975e+16,3.7177451451426773,3870852.7789663156,251662.28363802593,9271379702707160.0
dog-run,100000000000.0,1,3.6315552336154776e+16,3.594566178377734,3461210.436416121,275430.0417015913,8772548165995646.0
dog-run,100000000000.0,2,4.0025604844858744e+16,2.399103065890832,3592699.451779784,327903.2299926995,7235281845588792.0
dog-run,100000000000.0,3,4.310544077078218e+16,3.475468464431617,3592699.451779784,326643.07109846594,1.044113366093558e+16
dog-run,100000000000.0,4,4.7122972272647576e+16,3.3603167803437084,3729183.6448360337,356776.06667853077,1.1445365604794502e+16
dog-run,100000000000.0,5,3.856637508122889e+16,36.756365109085394,32742.935334789217,374136.6424187417,1152710839354721.0
dog-run,100000000000.0,6,5.5542774059340936e+16,1.6012211864087573,3461210.436416121,486415.4199027463,6901232069066310.0
dog-run,100000000000.0,7,4.666740763610032e+16,58.91100039389903,32742.935334789217,444713.9552273913,2196012113361186.2
dog-run,100000000000.0,8,6.50368739272212e+16,2.9366196108950704,2981648.6910521793,531280.6940564573,1.1908804521575468e+16
dog-run,100000000000.0,9,6.7813984822977176e+16,2.9366196108950704,2872523.4898465485,557704.1750475008,1.2043567318227106e+16
dog-run,100000000000.0,10,7.032591922534317e+16,2.481315778678445,2872523.4898465485,594738.692503464,1.085204997499678e+16
dog-run,100000000000.0,11,7.576136505643494e+16,2.9366196108950704,2981648.6910521793,618888.1503574315,1.3872550020691798e+16
dog-run,100000000000.0,12,4.856504494263548e+16,141.46787063672176,32742.935334789217,434166.5161256946,5148393330066014.0
dog-run,100000000000.0,13,8.378568889140722e+16,1.7128431326578892,2872523.4898465485,744128.8965563786,9372799235769356.0
dog-run,100000000000.0,14,6.210085269394681e+16,115.57370280795745,32742.935334789217,566161.0572331647,5484746970630344.0
dog-run,100000000000.0,15,9.513833912285442e+16,2.2427591787238566,2872523.4898465485,816690.7594927079,1.3469263173583638e+16
dog-run,100000000000.0,16,9.669685274361866e+16,2.0966038538583507,2981648.6910521793,833568.9785606345,1.3339954887555192e+16
dog-run,100000000000.0,17,1.0589116430284523e+17,1.9599731267245997,3334533.7805034313,907137.3399356198,1.5177430309283244e+16
dog-run,100000000000.0,18,1.1148306207197547e+17,2.481315778678445,3212493.356755193,925890.6154877014,1.8894000523205332e+16
dog-run,100000000000.0,19,7.087789339634692e+16,127.8669841587071,32742.935334789217,640165.6273237272,6861330663974197.0
