env_name,delta,threshold_idx,opt_budget,opt_utd,opt_critic_params,data_efficiency,compute
dog-stand,100000000000.0,0,8999436754823537.0,8.951309445250157,779913.6772756338,76349.23489533763,1364513265289774.2
dog-stand,100000000000.0,1,1.2217160498114874e+16,5.439371405323501,1694812.8664605278,98844.40888977244,2332719609137630.0
dog-stand,100000000000.0,2,1.4175248947839228e+16,5.69135652100594,1395895.6324728797,117795.26331267145,2395722616572083.5
dog-stand,100000000000.0,3,1.6579489608423424e+16,4.337238700941637,1808053.8190917398,138075.63269149777,2771926339273647.5
dog-stand,100000000000.0,4,1.8649410455400824e+16,4.1452072244798615,1694812.8664605278,158066.0819298534,2842802262415487.0
dog-stand,100000000000.0,5,2.17478669262549e+16,3.9616779519535266,1694812.8664605278,185580.0319113938,3189863735115518.5
dog-stand,100000000000.0,6,2.2667244706675692e+16,3.4584215982264035,1808053.8190917398,195394.29212559407,3127815494116283.0
dog-stand,100000000000.0,7,2.513826335241229e+16,3.7862744478266843,1588664.3538979783,217838.34828811363,3354428523600923.5
dog-stand,100000000000.0,8,2.566920404866685e+16,2.407361504007793,2498384.979685676,222442.25019334597,3424979029332253.0
dog-stand,100000000000.0,9,2.83695954428627e+16,2.6355755336425064,2665317.5660130265,240454.7523087092,4324120211991779.0
dog-stand,100000000000.0,10,2.95711340745328e+16,2.1989084877294793,3236068.943119849,250143.8853008343,4556745544449369.0
dog-stand,100000000000.0,11,3.1279002610035104e+16,2.1989084877294793,3033389.3956253743,267169.3318976926,4562069420265846.0
dog-stand,100000000000.0,12,3.328628063053643e+16,2.0085053820787095,3236068.943119849,285378.3234204424,4748448288492192.0
dog-stand,100000000000.0,13,3.596456979577842e+16,2.1989084877294793,2843403.953137494,310023.0762944382,4962262166334599.0
dog-stand,100000000000.0,14,3.785438718392675e+16,2.1989084877294793,2843403.953137494,326313.7480204,5223012381886754.0
dog-stand,100000000000.0,15,4.124755521937722e+16,2.3007754441048665,2498384.979685676,359564.0785680175,5291147362575466.0
dog-stand,100000000000.0,16,4.379773231297223e+16,2.101551696319463,2843403.953137494,379867.3617916423,5810996133807998.0
dog-stand,100000000000.0,17,4.755920325099526e+16,1.8345892484159791,2843403.953137494,419562.83713463513,5602919537531751.0
dog-stand,100000000000.0,18,5.214191842322679e+16,1.8345892484159791,2665317.5660130265,463410.4256961861,5800875853608186.0
dog-stand,100000000000.0,19,6.563666668704947e+16,1.8345892484159791,3236068.943119849,569770.8693769176,8659579749357709.0
