env_name,delta,threshold_idx,opt_budget,opt_utd,opt_critic_params,data_efficiency,compute
dog-trot,100000000000.0,0,3.051008144201794e+16,4.11319225767108,4017903.826533072,214395.28797913756,9070552644104184.0
dog-trot,100000000000.0,1,3.12830695531283e+16,4.39992498953546,3212493.356755193,229710.25164916768,8312044388211531.0
dog-trot,100000000000.0,2,3.498883241231571e+16,3.7177451451426773,3334533.7805034313,265597.7379847107,8429058613844639.0
dog-trot,100000000000.0,3,3.992702949928831e+16,2.7452470385259766,3461210.436416121,321150.94719040266,7811934780248048.0
dog-trot,100000000000.0,4,4.316293551477192e+16,2.8393214488829894,3334533.7805034313,347422.47770871577,8420687743900341.0
dog-trot,100000000000.0,5,4.916097953927123e+16,2.7452470385259766,3461210.436416121,395423.7352950682,9618606009764412.0
dog-trot,100000000000.0,6,5.171789321919989e+16,3.594566178377734,2872523.4898465485,409053.0482041516,1.0812588398784726e+16
dog-trot,100000000000.0,7,5.839855273752486e+16,2.399103065890832,3212493.356755193,487751.30351811874,9623422385712996.0
dog-trot,100000000000.0,8,6.694046673853468e+16,0.9659493517669627,4841321.822456339,597833.4381836908,7157122920165601.0
dog-trot,100000000000.0,9,6.3588145923662264e+16,2.9366196108950704,2872523.4898465485,522950.7535610889,1.1293070567553376e+16
dog-trot,100000000000.0,10,7.067721450749661e+16,2.8393214488829894,3334533.7805034313,568887.4653426041,1.3788467973236204e+16
dog-trot,100000000000.0,11,7.291157924481368e+16,2.9366196108950704,2872523.4898465485,599626.9391967887,1.2948885325134806e+16
dog-trot,100000000000.0,12,8.455921492789958e+16,2.027137689193706,3870852.7789663156,704145.6052795508,1.4144654399944508e+16
dog-trot,100000000000.0,13,8.677974130136594e+16,1.6012211864087573,3729183.6448360337,752731.8523685356,1.150655606451238e+16
dog-trot,100000000000.0,14,8.30452945715556e+16,1.6012211864087573,2872523.4898465485,742969.5022878958,8748344342766016.0
dog-trot,100000000000.0,15,9.229716599213074e+16,2.1684504922613805,2981648.6910521793,791898.0599769321,1.310735999443752e+16
dog-trot,100000000000.0,16,6.933310982167923e+16,67.41071347341322,32742.935334789217,656249.7391370247,3708135907976763.0
dog-trot,100000000000.0,17,7.460108095659579e+16,51.48300305082428,32742.935334789217,715149.2318818524,3086157768410547.0
dog-trot,100000000000.0,18,7.49712666164162e+16,72.10994871949505,32742.935334789217,706980.0092364695,4273265692769247.0
dog-trot,100000000000.0,19,9.514735508543891e+16,35.53852717253733,32742.935334789217,923949.9379236992,2752361293068998.0
