env_name,delta,threshold_idx,opt_budget,opt_utd,opt_critic_params,data_efficiency,compute
dog-walk,100000000000.0,0,2.243511886840513e+16,7.814214656846571,912780.1525704847,189710.74673433806,3464044194971324.5
dog-walk,100000000000.0,1,2.558037671267676e+16,5.955015136031214,1330824.2852412113,212659.06685680128,4314470026996632.0
dog-walk,100000000000.0,2,2.8916847795462164e+16,4.9683771760770625,2047711.4123073525,229416.976163946,5975150179067564.0
dog-walk,100000000000.0,3,3.1764211190196e+16,3.9616779519535266,2828979.339144444,246825.0197667863,7081709213517370.0
dog-walk,100000000000.0,4,3.338410724983779e+16,3.3052997961935744,2985542.651195814,266513.45563169406,6732761686668387.0
dog-walk,100000000000.0,5,3.564987128796148e+16,3.6186369432669747,2680626.283500128,285581.5443661604,7091716851345440.0
dog-walk,100000000000.0,6,3.91509132198311e+16,3.4584215982264035,2828979.339144444,313090.745046302,7841838715200904.0
dog-walk,100000000000.0,7,4.010951656858283e+16,3.4584215982264035,2828979.339144444,320756.7178674042,8033844781842405.0
dog-walk,100000000000.0,8,4.292263590571907e+16,3.1589574701707854,2985542.651195814,345749.11522739445,8347724382979632.0
dog-walk,100000000000.0,9,4.634572311712702e+16,3.1589574701707854,2828979.339144444,377169.3324741568,8628789869711344.0
dog-walk,100000000000.0,10,4.815082807071507e+16,2.8854238891711117,2680626.283500128,401923.61691817536,7958466378897538.0
dog-walk,100000000000.0,11,5.01324341663319e+16,3.1589574701707854,2406851.3202829524,419644.554200662,8167978746265705.0
dog-walk,100000000000.0,12,5.458729962079821e+16,3.4584215982264035,2280634.8637309866,454168.4931329378,9170450307504426.0
dog-walk,100000000000.0,13,5.76716500431931e+16,3.3052997961935744,2406851.3202829524,479136.77519480215,9757972523712890.0
dog-walk,100000000000.0,14,6.213474371669419e+16,3.6186369432669747,2161037.2596898866,517706.59560518584,1.0364084156175606e+16
dog-walk,100000000000.0,15,6.530704173975059e+16,3.6186369432669747,2161037.2596898866,544138.1781872242,1.0893223921028172e+16
dog-walk,100000000000.0,16,6.754895428531518e+16,3.7862744478266843,2047711.4123073525,563621.0018186028,1.11868541034549e+16
dog-walk,100000000000.0,17,7.566340148263118e+16,3.4584215982264035,1838576.6589720878,650711.5333050676,1.0592248152124418e+16
dog-walk,100000000000.0,18,7.875833470579787e+16,3.1589574701707854,1940328.4276067936,680762.7981112334,1.068205489467453e+16
dog-walk,100000000000.0,19,8.66575212338578e+16,3.019094458493529,1742160.8026875644,763738.2068872164,1.0283700545136142e+16
