env_name,delta,threshold_idx,opt_budget,opt_utd,opt_critic_params,data_efficiency,compute
humanoid-walk,100000000000.0,0,1.7966211630748774e+16,16.625377310393226,1072869.009831255,123341.49968494415,5632061662254358.0
humanoid-walk,100000000000.0,1,2.601550754242357e+16,10.697559707556374,1650801.0409083823,179159.7613547352,8099531406950048.0
humanoid-walk,100000000000.0,2,2.839327040472943e+16,3.966792093698998,2540052.9344144543,225712.0673845916,5822063666270273.0
humanoid-walk,100000000000.0,3,2.1613023475186336e+16,0.5555555555555554,3703371.6403643284,205316.19494842162,1081403980344175.1
humanoid-walk,100000000000.0,4,2.257422783561181e+16,0.5555555555555554,4593791.852600542,211898.14038783583,1384413796828225.0
humanoid-walk,100000000000.0,5,3.537283642872793e+16,3.0113427839079194,2828979.339144444,290396.61484010634,6333174944717290.0
humanoid-walk,100000000000.0,6,4.286977924122147e+16,5.036878221179239,2406851.3202829524,327163.0042764932,1.0153478813572152e+16
humanoid-walk,100000000000.0,7,4.3350173464057144e+16,3.2409673780498895,2680626.283500128,354629.26071338693,7887247392718450.0
humanoid-walk,100000000000.0,8,5.033591016484025e+16,4.766785416085246,2540052.9344144543,384254.76045489917,1.1910434119350328e+16
humanoid-walk,100000000000.0,9,5.522183435227902e+16,4.191556145421663,2540052.9344144543,433943.7512717222,1.1827459225106804e+16
humanoid-walk,100000000000.0,10,5.8138172990235896e+16,6.279207668397021,2540052.9344144543,412822.9408862307,1.6855878901612834e+16
humanoid-walk,100000000000.0,11,6.389534705660103e+16,6.8833194916541105,2280634.8637309866,455784.10901452694,1.8316936155148336e+16
humanoid-walk,100000000000.0,12,6.558800247147098e+16,7.545551879522523,2047711.4123073525,469980.10585649917,1.8589991885821056e+16
humanoid-walk,100000000000.0,13,6.6199765351603096e+16,6.279207668397021,2280634.8637309866,484409.7301378354,1.7758792337819562e+16
humanoid-walk,100000000000.0,14,7.954912261567206e+16,5.942497361248084,2406851.3202829524,582287.1756293338,2.1320405052738684e+16
humanoid-walk,100000000000.0,15,8.932521580204438e+16,6.8833194916541105,2047711.4123073525,656400.8535044163,2.368513045160276e+16
humanoid-walk,100000000000.0,16,8.937112647461984e+16,6.052678607848527,2540052.9344144543,641307.1508871318,2.5240411385906652e+16
humanoid-walk,100000000000.0,17,1.0471229789400563e+17,6.514214862115587,2047711.4123073525,780570.4070007964,2.665525719392598e+16
humanoid-walk,100000000000.0,18,1.1095704576322336e+17,6.395631940299727,2047711.4123073525,830972.0666489601,2.7859839098327348e+16
humanoid-walk,100000000000.0,19,1.2150604213990038e+17,4.115254244854954,2280634.8637309866,979677.2460841475,2.3538317531485628e+16
