utd,critic_params,time,time_std,env_name,time_loglinear,time_sum_powerlaw
2,1050000,1016276.0416666666,,,1045946.2448620134,1131675.6151635353
2,2830000,955805.3118908382,99945.06975090013,,949978.948530737,914404.3042695215
2,4920000,818617.5073099415,178472.14351177705,,900329.1951408278,870840.9048918004
2,26310000,910378.9747807018,,,765109.8407186266,833062.2318678341
5,1050000,960394.584551657,150932.81071927323,,923656.6003434309,985098.9926013788
5,2830000,817242.3245614035,224723.37101843383,,838909.5809732407,767827.6817073652
5,4920000,675193.4088693956,147164.3554292606,,795064.7632789416,724264.2823296441
5,26310000,745471.6435185184,103351.8667235262,,675654.946742222,686485.6093056778
10,1050000,964909.2348927875,126872.49980985979,,840740.5649574978,926088.4769949286
10,2830000,742039.0168128655,192189.62736534266,,763601.2288478825,708817.1661009149
10,4920000,609770.9551656919,105425.23390325373,,723692.3311200282,665253.7667231937
10,26310000,570732.821637427,101648.43427440815,,615001.8539673446,627475.0936992274
15,1050000,943844.4200779728,144816.8626442828,,795732.5812424121,903685.778935561
15,2830000,741452.6985867446,238514.91076921398,,722722.8020117247,686414.4680415475
15,4920000,588567.556042885,127901.48355237619,,684950.3766915187,642851.0686638262
15,26310000,635920.7480506822,183729.29600347395,,582078.506882849,605072.39563986
