env_name,delta,threshold_idx,opt_budget,opt_utd,opt_critic_params,data_efficiency,compute
h1-crawl-v0,1000000000000.0,0,9.9634578881372e+16,2.032719814741231,20877860.802420426,89870.7157237729,9763863157599112.0
h1-crawl-v0,1000000000000.0,1,1.18757673171768e+17,2.032719814741231,23878160.21223188,105632.20795547128,1.3125465216296714e+16
h1-crawl-v0,1000000000000.0,2,1.1498630062915696e+17,1.2492569412213916,46727783.62625479,100036.79928434176,1.4949501344815194e+16
h1-crawl-v0,1000000000000.0,3,1.2146341377269085e+17,1.2492569412213916,53442903.674348794,103733.70254270031,1.7729711229990542e+16
h1-crawl-v0,1000000000000.0,4,1.3816632344652698e+17,1.2492569412213916,40856420.8248683,122199.40373642521,1.5966919710101756e+16
h1-crawl-v0,1000000000000.0,5,1.2057210613291131e+17,0.02821962856994811,489875030.7232157,116450.94514530397,4121160987607345.5
h1-crawl-v0,1000000000000.0,6,1.754795434800963e+17,1.7687651129823139,38203476.568509534,149600.6097368255,2.5878933743270772e+16
h1-crawl-v0,1000000000000.0,7,1.853179143215606e+17,1.2065628018016976,46727783.62625479,161944.07083958475,2.3373843481975864e+16
h1-crawl-v0,1000000000000.0,8,1.6933911292875494e+17,0.05657024741477567,218874979.90112698,164136.40925309583,5202703675659092.0
h1-crawl-v0,1000000000000.0,9,1.9814432500998864e+17,0.16624366120351375,104583787.73983191,189700.8968794768,8443428130511855.0
h1-crawl-v0,1000000000000.0,10,2.491948436364204e+17,2.33606475778728,18254550.091424376,224668.2274217718,2.45266162146486e+16
h1-crawl-v0,1000000000000.0,11,2.5152696478805546e+17,0.9135560918570085,40856420.8248683,229589.44988437952,2.1937514903675944e+16
h1-crawl-v0,1000000000000.0,12,2.5610536211749875e+17,0.5058292634817627,61123034.98043402,237321.4591407332,1.8783902976765544e+16
h1-crawl-v0,1000000000000.0,13,2.7914508277147773e+17,0.945882209565272,40856420.8248683,254014.85336648187,2.513022940499588e+16
h1-crawl-v0,1000000000000.0,14,2.7971442009667693e+17,0.21956332997107245,127919473.39026387,260951.66905908976,1.876275103758717e+16
h1-crawl-v0,1000000000000.0,15,3.187483786683159e+17,0.6018844829069384,74761362.30753392,285823.2234094945,3.292515525882144e+16
h1-crawl-v0,1000000000000.0,16,3.227628810529053e+17,0.25232899956413185,127919473.39026387,298128.2048123378,2.4634676240567508e+16
h1-crawl-v0,1000000000000.0,17,3.758591855314065e+17,0.6680649155753997,61123034.98043402,340287.12237851514,3.5572063152891384e+16
