env_name,delta,threshold_idx,opt_budget,opt_utd,opt_critic_params,data_efficiency,compute
,100000000000.0,0,2.587274719264084e+16,1.339230864416054,6235226.309386782,213160.13720167233,4556733472473610.0
,100000000000.0,1,2.5993321402767096e+16,0.6680649155753997,8722467.926256683,226191.01649708353,3374219753058746.0
,100000000000.0,2,2.7482266321123024e+16,0.645233378118345,8722467.926256683,240213.32696865764,3460933624257261.0
,100000000000.0,3,2.804545082698036e+16,0.5422600743104978,9328177.753338465,248301.35981395666,3215314845584691.0
,100000000000.0,4,3.02777113224734e+16,0.5422600743104978,10668704.279155374,263719.8278117389,3905728541299514.0
,100000000000.0,5,3.3004678385517544e+16,1.125501954308328,7626486.697441521,270587.6356088345,5945914824634093.0
,100000000000.0,6,3.3692808014931784e+16,0.8521803964285742,8156088.867125999,286033.61757761176,5089446257170609.0
,100000000000.0,7,3.3198513483099244e+16,0.5422600743104978,9975949.574539982,291602.6281440395,4038250668695295.0
,100000000000.0,8,3.50279817153088e+16,0.7949281215792381,7626486.697441521,303220.0045648937,4705981258819429.0
,100000000000.0,9,3.5974450921850624e+16,0.8521803964285742,7626486.697441521,308428.73815521254,5131577106329367.0
,100000000000.0,10,3.7786092272277816e+16,0.741522242386457,8156088.867125999,327201.3842163546,5065953850642359.0
,100000000000.0,11,3.890260841662245e+16,0.7161802547179322,8722467.926256683,335390.56051808223,5363552364814223.0
,100000000000.0,12,4.109429631836899e+16,1.014006492462125,8156088.867125999,339140.0956789362,7180286750475371.0
,100000000000.0,13,4.102155490331991e+16,0.5422600743104978,10668704.279155374,357299.04682866816,5291650220453097.0
,100000000000.0,14,4.39564445163029e+16,1.014006492462125,7626486.697441521,366923.603426354,7264084173667496.0
,100000000000.0,15,4.4726227152742856e+16,0.5614479086940669,10668704.279155374,387796.7447687855,5946552675864302.0
,100000000000.0,16,4.6643853240908264e+16,0.9793521846627012,7626486.697441521,391568.0506153633,7487048179371937.0
,100000000000.0,17,4.756239313447444e+16,0.5813147032404311,10668704.279155374,410456.56671255437,6516736463219003.0
,100000000000.0,18,4.94735632192103e+16,0.4885422311787545,10668704.279155374,436494.17806208343,5824145413001956.0
,100000000000.0,19,5.203891616474586e+16,0.741522242386457,8156088.867125999,450620.96602976514,6976819561769340.0
