env_name,delta,threshold_idx,opt_budget,opt_utd,opt_critic_params,data_efficiency,compute
h1-crawl-v0,500000000000.0,0,7.529861546106995e+16,0.6711695474457784,37068401.69273691,133581.43843309977,8507896244520068.0
h1-crawl-v0,500000000000.0,1,7.558731766838187e+16,0.20104895312968374,76236174.3214115,140174.409374735,5500112981014381.0
h1-crawl-v0,500000000000.0,2,7.89844945029705e+16,0.09574789733349837,130926940.62111819,148441.39477837985,4763797113780574.0
h1-crawl-v0,500000000000.0,3,7.57283535401412e+16,0.03452565773099058,269268935.60982436,144575.0727015892,3440817189346587.5
h1-crawl-v0,500000000000.0,4,1.0203009420782117e+17,1.4761843595033208,25847898.743425522,170710.22646675754,1.6674980974442404e+16
h1-crawl-v0,500000000000.0,5,1.0569794634325235e+17,1.546238153249974,21584198.942228787,180544.99927286964,1.5425446706817538e+16
h1-crawl-v0,500000000000.0,6,1.1034461973505176e+17,1.4761843595033208,21584198.942228787,189736.60486715025,1.5476317301476636e+16
h1-crawl-v0,500000000000.0,7,1.0886005845965146e+17,0.26553179421567275,53159694.63102276,203045.63976823783,7337238575532537.0
h1-crawl-v0,500000000000.0,8,1.2203961852975118e+17,0.4421912782455788,37068401.69273691,225181.2230118956,9449007023803374.0
h1-crawl-v0,500000000000.0,9,1.2713318248517182e+17,0.5575567791714877,30953841.33729584,233622.61918544554,1.0321872892449052e+16
h1-crawl-v0,500000000000.0,10,1.237343326023242e+17,0.15944939940727856,69665288.5398799,234151.6611467576,6658502028945399.0
h1-crawl-v0,500000000000.0,11,1.2942250171052237e+17,0.2205836848735709,63660755.15389103,241482.93065017834,8681036385433198.0
h1-crawl-v0,500000000000.0,12,1.4009739610693654e+17,0.2205836848735709,69665288.5398799,259757.30237910865,1.0218744917382216e+16
h1-crawl-v0,500000000000.0,13,1.4019558285977949e+17,0.09574789733349837,130926940.62111819,263479.91453804803,8455625590755480.0
h1-crawl-v0,500000000000.0,14,1.7089591218399318e+17,0.42215738079085935,44390820.15964541,311868.55106102565,1.4961636653480362e+16
h1-crawl-v0,500000000000.0,15,1.8435239915937834e+17,0.4631759041856667,44390820.15964541,333587.66389320785,1.7558567212774414e+16
h1-crawl-v0,500000000000.0,16,1.8368249228864336e+17,0.26553179421567275,53159694.63102276,342604.3462469349,1.23803191651759e+16
h1-crawl-v0,500000000000.0,17,1.8730831403961866e+17,0.20104895312968374,63660755.15389103,351577.5698235381,1.1519529127849608e+16
h1-crawl-v0,500000000000.0,18,2.1785945426045443e+17,0.7030205643889608,25847898.743425522,398630.8468935849,1.854403081366199e+16
h1-crawl-v0,500000000000.0,19,2.300147629842773e+17,0.736383102950155,23620037.86442098,422411.9695469864,1.8808778210784124e+16
