env_name,delta,threshold_idx,opt_budget,opt_utd,opt_critic_params,data_efficiency,compute
h1-pole-v0,100000000000.0,0,5.381997435449462e+16,0.2612576433702696,15960859.313789995,486288.7368932094,5191100665173685.0
h1-pole-v0,100000000000.0,1,5.6182729226413416e+16,0.20481234512441168,19522191.36827551,509659.24639788404,5216804586625013.0
h1-pole-v0,100000000000.0,2,6.261787798586041e+16,0.35726095785100115,13955371.606461655,555303.1305075447,7087564935105937.0
h1-pole-v0,100000000000.0,3,6.662127013597124e+16,0.5237279962003606,10668704.279155374,582842.8703955166,8336983096419573.0
h1-pole-v0,100000000000.0,4,6.425335495891008e+16,0.15507486663481448,29206072.431374747,575774.9378696384,6675861171946236.0
h1-pole-v0,100000000000.0,5,7.668438767431843e+16,0.645233378118345,11409565.590282846,645240.056038925,1.2160382070425932e+16
h1-pole-v0,100000000000.0,6,8.00326920859982e+16,0.645233378118345,10668704.279155374,680419.697666309,1.199072231936732e+16
h1-pole-v0,100000000000.0,7,8.184779685357006e+16,0.6680649155753997,9975949.574539982,699187.3154872042,1.1929065304849636e+16
h1-pole-v0,100000000000.0,8,8.407076285056845e+16,0.6680649155753997,9975949.574539982,718177.0707110536,1.2253055779463094e+16
h1-pole-v0,100000000000.0,9,8.464750550960269e+16,0.5422600743104978,12201874.15010747,723863.6415660033,1.2261141353002346e+16
h1-pole-v0,100000000000.0,10,8.92878036501579e+16,0.7161802547179322,9975949.574539982,754820.4675442796,1.3805756895729938e+16
h1-pole-v0,100000000000.0,11,9.170647991187725e+16,0.6917043453708409,9975949.574539982,779385.9338239607,1.376788652948119e+16
h1-pole-v0,100000000000.0,12,9.567219355234918e+16,0.882334739494283,8156088.867125999,807886.7021348764,1.4883523338861554e+16
h1-pole-v0,100000000000.0,13,9.441529617026694e+16,0.6018844829069384,10668704.279155374,810859.0909417146,1.3329387076095492e+16
h1-pole-v0,100000000000.0,14,9.508647152197734e+16,0.5422600743104978,12201874.15010747,813132.5208603146,1.377321943594589e+16
h1-pole-v0,100000000000.0,15,9.884889687147603e+16,0.5422600743104978,13049202.583300924,836888.9066492346,1.5160006206552568e+16
h1-pole-v0,100000000000.0,16,1.0687334177978363e+17,0.9793521846627012,7626486.697441521,897185.4423630043,1.7154797543483194e+16
h1-pole-v0,100000000000.0,17,1.1081792271497434e+17,1.1653277613716848,6235226.309386782,934374.6105710951,1.7380461657864822e+16
h1-pole-v0,100000000000.0,18,1.1271901026883062e+17,1.2934618097453356,5830352.179675542,944790.5019745171,1.8239960071378916e+16
h1-pole-v0,100000000000.0,19,1.119829351735211e+17,1.0870372191775417,5830352.179675542,963502.9854504305,1.5632636628478048e+16
