env_name,delta,threshold_idx,opt_budget,opt_utd,opt_critic_params,data_efficiency,compute
h1-pole-v0,100000000000.0,0,5.454564928285152e+16,0.2420164903868822,15050721.456544396,498931.8085259476,4652468430256761.0
h1-pole-v0,100000000000.0,1,5.596467822337056e+16,0.18324420311370343,19723831.377910867,512250.53944578365,4739624278792189.0
h1-pole-v0,100000000000.0,2,6.3949948109404184e+16,0.4631759041856667,10494909.584960273,568726.4130090254,7077306808501646.0
h1-pole-v0,100000000000.0,3,6.586745882262109e+16,0.4030311381610348,11484797.858096424,588893.3642748374,6978122395137342.0
h1-pole-v0,100000000000.0,4,6.9616186154241624e+16,0.3673389917861936,12568053.18555165,622580.0910364281,7358177050598815.0
h1-pole-v0,100000000000.0,5,7.774826203036931e+16,0.807933072014573,7318129.400939651,675272.3773430228,1.0221024296067022e+16
h1-pole-v0,100000000000.0,6,8.057886780651675e+16,0.736383102950155,8008381.224134434,700095.7435794679,1.0569293448569968e+16
h1-pole-v0,100000000000.0,7,8.1211042001512e+16,0.736383102950155,7318129.400939651,713656.484542365,9845393547275512.0
h1-pole-v0,100000000000.0,8,8.292187099068816e+16,0.5840161894468204,8763738.151833437,733156.8206254647,9606188928141694.0
h1-pole-v0,100000000000.0,9,8.461607984391438e+16,0.5575567791714877,9590340.9496096,744278.5303588895,1.0188226808025444e+16
h1-pole-v0,100000000000.0,10,8.78475967120348e+16,0.5840161894468204,9590340.9496096,768312.6770396837,1.101632900806643e+16
h1-pole-v0,100000000000.0,11,8.94647816663783e+16,0.48515637637489895,10494909.584960273,791480.8162935755,1.0316700037020754e+16
h1-pole-v0,100000000000.0,12,9.402110766889502e+16,0.6407615711925879,8763738.151833437,822038.1981394946,1.1817287854945564e+16
h1-pole-v0,100000000000.0,13,9.312289461238293e+16,0.5081799536853081,10494909.584960273,819359.6809355858,1.1186926518824356e+16
h1-pole-v0,100000000000.0,14,9.281571001282886e+16,0.38477142818888804,12568053.18555165,825911.5679899392,1.0224553213834938e+16
h1-pole-v0,100000000000.0,15,9.967070338368258e+16,0.5840161894468204,9590340.9496096,871717.2444702119,1.249897893666139e+16
h1-pole-v0,100000000000.0,16,1.0556095720645194e+17,0.9285017848976516,6687371.196503674,910827.6480665014,1.447819239980179e+16
h1-pole-v0,100000000000.0,17,1.0662262128206509e+17,0.846274337740388,6687371.196503674,931300.0435151904,1.3492616930546052e+16
h1-pole-v0,100000000000.0,18,1.0668101607340792e+17,0.6117312572951076,8008381.224134434,947927.0178873261,1.1888314284675316e+16
h1-pole-v0,100000000000.0,19,1.0501766613915418e+17,0.4631759041856667,8763738.151833437,951320.8239275924,9885583746394950.0
