env_name,delta,threshold_idx,opt_budget,opt_utd,opt_critic_params,data_efficiency,compute
h1-stand-v0,100000000000.0,0,2.318770351452953e+16,1.7687651129823139,5830352.179675542,183446.93404606805,4843010109922723.0
h1-stand-v0,100000000000.0,1,2.416000684058406e+16,1.014006492462125,6668215.903800258,205950.57499372304,3564949341211755.5
h1-stand-v0,100000000000.0,2,2.5243731238289172e+16,1.2934618097453356,6235226.309386782,209237.2148598516,4320009752304012.5
h1-stand-v0,100000000000.0,3,2.539573696809199e+16,1.125501954308328,6235226.309386782,215281.11783711863,3867625184380126.5
h1-stand-v0,100000000000.0,4,2.6738450964223904e+16,1.386619453849738,6235226.309386782,218928.1227426468,4845638689959225.0
h1-stand-v0,100000000000.0,5,2.763007150501113e+16,1.649933669761164,6235226.309386782,218702.14371131102,5759857133880029.0
h1-stand-v0,100000000000.0,6,2.824908205409408e+16,1.5935461518649983,6235226.309386782,225206.29104752783,5728452949341296.0
h1-stand-v0,100000000000.0,7,2.825011053883505e+16,0.945882209565272,7131273.370583997,240901.95735062458,4159914803772592.5
h1-stand-v0,100000000000.0,8,2.837334965466909e+16,1.2934618097453356,6235226.309386782,235177.62100805982,4855587553863103.0
h1-stand-v0,100000000000.0,9,2.9101399145743304e+16,1.2492569412213916,6668215.903800258,239861.9714928088,5115201996462423.0
h1-stand-v0,100000000000.0,10,3.0898551155659624e+16,1.5935461518649983,6235226.309386782,246328.29099308455,6265722056351170.0
h1-stand-v0,100000000000.0,11,3.210362716190737e+16,1.4864864933067488,6668215.903800258,256060.2936460654,6497597797300828.0
h1-stand-v0,100000000000.0,12,3.3289941020404108e+16,1.4864864933067488,7131273.370583997,261842.26351087072,7105714669317036.0
h1-stand-v0,100000000000.0,13,3.3799028853075736e+16,1.2934618097453356,6668215.903800258,276859.19316802884,6113109536272850.0
h1-stand-v0,100000000000.0,14,3.513851614718361e+16,1.2492569412213916,6668215.903800258,289621.59916040284,6176356231143325.0
h1-stand-v0,100000000000.0,15,3.5207066015782416e+16,1.2065628018016976,7131273.370583997,288518.460309913,6355219984791119.0
h1-stand-v0,100000000000.0,16,3.501313912515262e+16,1.125501954308328,7131273.370583997,290451.62489669817,5967976635482803.0
h1-stand-v0,100000000000.0,17,3.617216478789456e+16,1.2492569412213916,7131273.370583997,294545.9890265282,6717565885241744.0
h1-stand-v0,100000000000.0,18,3.7453649466815816e+16,1.2065628018016976,7626486.697441521,303129.2521737082,7140724249444995.0
h1-stand-v0,100000000000.0,19,3.857166133608562e+16,1.5390857127555517,6668215.903800258,305462.0572026803,8025455615817587.0
