env_name,delta,threshold_idx,opt_budget,opt_utd,opt_critic_params,data_efficiency,compute
h1-stand-v0,100000000000.0,0,2.362789923382217e+16,1.4761843595033208,5584266.316525214,195105.61793228294,4117337440593871.5
h1-stand-v0,100000000000.0,1,2.39204072504817e+16,1.2844974385965764,5584266.316525214,202093.93165275268,3711014085206432.5
h1-stand-v0,100000000000.0,2,2.4253560311983476e+16,1.546238153249974,5102951.816340033,201777.76614535123,4075783697448350.5
h1-stand-v0,100000000000.0,3,2.5074678607634576e+16,1.3454545392813615,5102951.816340033,213262.8146677986,3748397140854715.0
h1-stand-v0,100000000000.0,4,2.608773865155818e+16,1.4093044196730151,5102951.816340033,220316.04000957706,4056134650600472.5
h1-stand-v0,100000000000.0,5,2.697113000322395e+16,1.6196164193003117,5102951.816340033,222611.30875211314,4709999128012638.0
h1-stand-v0,100000000000.0,6,2.7854693061364784e+16,1.546238153249974,5102951.816340033,231737.4303107813,4680950030286656.0
h1-stand-v0,100000000000.0,7,2.815550372712525e+16,1.1707432735817154,5584266.316525214,241188.2723873882,4036676488386428.0
h1-stand-v0,100000000000.0,8,2.7087147959843108e+16,0.4631759041856667,8008381.224134434,247380.74712604808,2349073247238301.5
h1-stand-v0,100000000000.0,9,2.8999127311195264e+16,1.1707432735817154,6110978.785655895,245100.54150487005,4489073160708260.5
h1-stand-v0,100000000000.0,10,3.0495339522235188e+16,1.546238153249974,5584266.316525214,249747.69101612613,5520570420622576.0
h1-stand-v0,100000000000.0,11,3.2136918533263412e+16,1.4093044196730151,5584266.316525214,267479.93830585043,5388924702678368.0
h1-stand-v0,100000000000.0,12,3.328300738244716e+16,1.3454545392813615,6110978.785655895,274956.11924387654,5787395458059503.0
h1-stand-v0,100000000000.0,13,3.1499116091918756e+16,0.3196389333137038,10494909.584960273,290079.885952334,2491127496685359.0
h1-stand-v0,100000000000.0,14,3.3348877496183696e+16,0.48515637637489895,8763738.151833437,300753.1058066655,3273566915517146.5
h1-stand-v0,100000000000.0,15,3.4626333933575824e+16,1.018718784336571,6687371.196503674,294842.4361275254,5142090320823285.0
h1-stand-v0,100000000000.0,16,3.2270475611503868e+16,0.2310517025466543,12568053.18555165,300375.1458571654,2232961025787327.5
h1-stand-v0,100000000000.0,17,3.466774697421442e+16,0.3673389917861936,10494909.584960273,315536.29325651407,3114117648563013.0
h1-stand-v0,100000000000.0,18,3.684508069944486e+16,0.532296137705597,8763738.151833437,329143.9312991752,3930687569527344.5
h1-stand-v0,100000000000.0,19,4.027268212287142e+16,0.807933072014573,6687371.196503674,353791.9224119792,4893489881673504.0
