env_name,delta,threshold_idx,opt_budget,opt_utd,opt_critic_params,data_efficiency,compute
humanoid-stand,50000000000.0,0,1.1536978568778322e+16,11.974884196859286,382257.0806774139,186929.44233857893,2190506451849375.8
humanoid-stand,50000000000.0,1,1.263341569316343e+16,9.387683680037002,417226.265499858,210462.29805280772,2110300790523044.0
humanoid-stand,50000000000.0,2,1.3856793289700318e+16,7.359453622069016,497054.3104279182,233418.44349434876,2185871114982880.5
humanoid-stand,50000000000.0,3,1.4586414752858008e+16,9.066853702921467,455394.4594419742,240818.22808986128,2545503348364943.5
humanoid-stand,50000000000.0,4,1.5367892586947972e+16,8.168665088295345,455394.4594419742,258183.62987351508,2458711093272218.0
humanoid-stand,50000000000.0,5,1.5949443527771934e+16,9.387683680037002,497054.3104279182,257475.65563518216,3075660746012826.5
humanoid-stand,50000000000.0,6,1.7132598402166114e+16,6.865021382982707,592155.8826575311,283620.2819709093,2951584303620650.5
humanoid-stand,50000000000.0,7,1.8568924528314656e+16,5.973577978646899,592155.8826575311,314431.9645378087,2847326301424224.0
humanoid-stand,50000000000.0,8,2.0245399363366344e+16,3.3075260251920953,840427.8885602397,354460.2973418081,2522384496275940.5
humanoid-stand,50000000000.0,9,2.1097911677764896e+16,3.545740505124486,769988.7034102111,370208.5490220565,2587484226662070.5
humanoid-stand,50000000000.0,10,2.1970419439569204e+16,3.424562599701895,769988.7034102111,387141.23458795267,2613357710171571.5
humanoid-stand,50000000000.0,11,2.3674821588643692e+16,4.0748751373462815,705453.2714222785,412747.7043351688,3037436371885251.0
humanoid-stand,50000000000.0,12,2.4472967286015924e+16,3.935613724028366,769988.7034102111,423717.33104241017,3287100733895416.5
humanoid-stand,50000000000.0,13,2.689600149894033e+16,3.935613724028366,769988.7034102111,465668.9905091979,3612551973480436.0
humanoid-stand,50000000000.0,14,2.7831212048473852e+16,4.0748751373462815,769988.7034102111,479581.6044659448,3852131825176611.0
humanoid-stand,50000000000.0,15,2.845199029297048e+16,2.9798729808455318,1001227.2456342858,493633.9018113218,3770295202404390.5
humanoid-stand,50000000000.0,16,2.936167785568604e+16,2.9798729808455318,1001227.2456342858,509416.7210935095,3890841801010562.5
humanoid-stand,50000000000.0,17,3.1921086763948304e+16,3.0853155755511055,1001227.2456342858,551236.9793607149,4359237795912560.0
humanoid-stand,50000000000.0,18,3.3318763497336756e+16,3.801111656846375,917310.9069543474,565431.9685272704,5047165070973237.0
humanoid-stand,50000000000.0,19,3.5582572776543704e+16,3.6712062821613625,1001227.2456342858,598934.1749320318,5635864029942117.0
