env_name,delta,threshold_idx,opt_budget,opt_utd,opt_critic_params,data_efficiency,compute
humanoid-stand,50000000000.0,0,1.2613679118395488e+16,5.406828547256173,497054.3104279182,221759.60357794788,1525698939498093.2
humanoid-stand,50000000000.0,1,1.336938331688564e+16,5.161867024946759,497054.3104279182,236340.70224375505,1552348204697888.8
humanoid-stand,50000000000.0,2,1.4474528905650536e+16,4.288087807162216,592155.8826575311,256184.56565797896,1665300622751587.5
humanoid-stand,50000000000.0,3,1.546707825651271e+16,4.491583269552537,592155.8826575311,272265.16626924434,1853819943050494.8
humanoid-stand,50000000000.0,4,1.6265045339905482e+16,3.9083378494300356,646326.7785050393,288046.5638475713,1862717147526915.5
humanoid-stand,50000000000.0,5,1.6962123232828052e+16,3.9083378494300356,705453.2714222785,297277.0351642329,2098271474616408.0
humanoid-stand,50000000000.0,6,1.7680565913805852e+16,3.9083378494300356,769988.7034102111,306401.03172700765,2360514327455470.0
humanoid-stand,50000000000.0,7,1.8968438698900892e+16,4.093811900712043,705453.2714222785,330499.40033378534,2443468682211626.0
humanoid-stand,50000000000.0,8,2.036750740097173e+16,3.400828578384378,840427.8885602397,355349.2795101281,2600043425465326.0
humanoid-stand,50000000000.0,9,2.1355036625225056e+16,3.099653656840379,917310.9069543474,372825.1067309309,2713781288678511.5
humanoid-stand,50000000000.0,10,2.215588306999775e+16,2.9592208926468704,917310.9069543474,389046.5308776648,2703556526114514.0
humanoid-stand,50000000000.0,11,2.3800433059175736e+16,2.9592208926468704,917310.9069543474,417924.0288371564,2904231617317915.0
humanoid-stand,50000000000.0,12,2.474994345143339e+16,2.6971544286565905,1001227.2456342858,434871.843144017,3006351294232544.5
humanoid-stand,50000000000.0,13,2.68310078898465e+16,2.8251505687264924,1001227.2456342858,468735.4409730436,3394235841194319.0
humanoid-stand,50000000000.0,14,2.7580544222390544e+16,2.8251505687264924,1001227.2456342858,481829.77737675747,3489055353552671.0
humanoid-stand,50000000000.0,15,2.8240914017787036e+16,2.4582963813543053,1092820.3183899445,496522.7729394128,3414775370816397.0
humanoid-stand,50000000000.0,16,2.9537042824851316e+16,2.2405914301279757,1192792.3990215885,519636.36562755256,3555224543473688.5
humanoid-stand,50000000000.0,17,3.1820972940367684e+16,2.0421662720738376,1421009.7791159817,554092.7762954159,4116334125596887.0
humanoid-stand,50000000000.0,18,3.3305896578909496e+16,2.574957275746579,1192792.3990215885,575601.6181439857,4525815671710207.0
humanoid-stand,50000000000.0,19,3.611034195512319e+16,2.4582963813543053,1301910.005900903,620524.7871119073,5084102599527828.0
