env_name,benchmark,utd,critic_params,compute_budget,critic_width,batch_size,batch_size_rounded
h1-crawl-v0,humanoid_bench,1,10604453.45596382,8000000000000000.0,1120,880.1413860829862,880
h1-crawl-v0,humanoid_bench,1,15285200.23137366,1.6e+16,1344,863.7600373204693,864
h1-crawl-v0,humanoid_bench,2,21789254.56986033,3.2e+16,1616,847.6508394663749,848
h1-crawl-v0,humanoid_bench,2,31060869.82986894,6.4e+16,1936,831.2392042388497,832
h1-crawl-v0,humanoid_bench,4,43789829.37251658,1.28e+17,2304,814.9644488620708,816
h1-crawl-v0,humanoid_bench,6,61735204.67962397,2.56e+17,2752,798.2226288304036,800
h1-pole-v0,humanoid_bench,1,1503149.1911618835,4000000000000000.0,400,88.79782816384954,96
h1-pole-v0,humanoid_bench,1,2048473.6873828217,8000000000000000.0,480,111.53227171009732,112
h1-pole-v0,humanoid_bench,2,2770639.0633333004,1.6e+16,560,139.29730496232057,144
h1-pole-v0,humanoid_bench,3,3747395.3737116493,3.2e+16,656,173.95425779189245,176
h1-pole-v0,humanoid_bench,5,4992540.554996914,6.4e+16,752,214.8062591026087,208
h1-pole-v0,humanoid_bench,8,6651409.501154714,1.28e+17,880,265.2119774506856,272
h1-pole-v0,humanoid_bench,13,8794821.561447168,2.56e+17,1024,325.5775783665116,320
h1-stand-v0,humanoid_bench,1,6474121.903379875,4000000000000000.0,864,2030.4201498456662,2032
h1-stand-v0,humanoid_bench,1,9522630.177183509,8000000000000000.0,1056,1689.1627878394822,1696
h1-stand-v0,humanoid_bench,2,13853039.641196612,1.6e+16,1280,1411.5760110841109,1408
h1-stand-v0,humanoid_bench,2,20152699.803503744,3.2e+16,1552,1179.3291594337352,1184
h1-stand-v0,humanoid_bench,4,28995693.96207917,6.4e+16,1872,990.446981008777,992
h1-stand-v0,humanoid_bench,6,41718989.34337236,1.28e+17,2256,831.7978449370474,832
h1-stand-v0,humanoid_bench,9,59367144.94866786,2.56e+17,2688,702.2612844367459,704
humanoid-stand,dmc,2,544245.2371374285,2000000000000000.0,224,283.451807345111,288
humanoid-stand,dmc,3,830065.8593745865,4000000000000000.0,288,259.71872196570075,256
humanoid-stand,dmc,4,1265990.5569835755,8000000000000000.0,368,236.57088836040936,240
humanoid-stand,dmc,6,1902948.6686075313,1.6e+16,448,214.91571258413413,208
humanoid-stand,dmc,10,2902317.9518511365,3.2e+16,576,193.35479265929246,192
humanoid-stand,dmc,14,4362561.831037819,6.4e+16,704,173.51283135015075,176
humanoid-stand,dmc,21,6462743.136569158,1.28e+17,864,155.40304580233476,160
