env_name,benchmark,utd,critic_params,compute_budget,critic_width,batch_size,batch_size_rounded
acrobot-swingup,dmc,2,2680744.1442133975,1e+16,544,256.0,256
acrobot-swingup,dmc,4,4253657.15845899,2e+16,704,256.0,256
acrobot-swingup,dmc,5,6642867.069036594,4e+16,880,256.0,256
acrobot-swingup,dmc,8,10210208.292287981,8e+16,1104,256.0,256
acrobot-swingup,dmc,11,15693277.05770658,1.6e+17,1360,256.0,256
cheetah-run,dmc,2,2431278.778556489,1e+16,512,256.0,256
cheetah-run,dmc,3,3795153.434261798,2e+16,656,256.0,256
cheetah-run,dmc,5,5830649.9489361225,4e+16,816,256.0,256
cheetah-run,dmc,7,8816529.186215239,8e+16,1024,256.0,256
cheetah-run,dmc,10,13331478.921242421,1.6e+17,1264,256.0,256
dog-run,dmc,3,2509232.1566709075,1e+16,528,256.0,256
dog-run,dmc,4,4026428.925376886,2e+16,672,256.0,256
dog-run,dmc,6,6359943.492673024,4e+16,864,256.0,256
dog-run,dmc,9,9888729.645975718,8e+16,1072,256.0,256
dog-run,dmc,13,15134977.411386799,1.6e+17,1344,256.0,256
dog-trot,dmc,3,1718931.8225392818,1e+16,432,256.0,256
dog-trot,dmc,4,2684453.61765885,2e+16,544,256.0,256
dog-trot,dmc,7,4080562.090661774,4e+16,688,256.0,256
dog-trot,dmc,11,6202747.131189984,8e+16,848,256.0,256
dog-trot,dmc,16,9177301.414788656,1.6e+17,1040,256.0,256
dog-walk,dmc,4,1189138.9217536496,1e+16,352,256.0,256
dog-walk,dmc,6,1731230.1624950645,2e+16,432,256.0,256
dog-walk,dmc,9,2554481.8377257315,4e+16,528,256.0,256
dog-walk,dmc,13,3669435.359121886,8e+16,640,256.0,256
dog-walk,dmc,19,5271032.134940411,1.6e+17,784,256.0,256
finger-turn,dmc,3,1613658.9652489745,1e+16,416,256.0,256
finger-turn,dmc,4,2407246.1430306886,2e+16,512,256.0,256
finger-turn,dmc,6,3591114.428718235,4e+16,640,256.0,256
finger-turn,dmc,9,5272172.827391549,8e+16,784,256.0,256
finger-turn,dmc,12,7740161.688973769,1.6e+17,944,256.0,256
fish-swim,dmc,2,2229093.145084983,1e+16,496,256.0,256
fish-swim,dmc,3,3316742.133991906,2e+16,608,256.0,256
fish-swim,dmc,4,4857265.688559081,4e+16,752,256.0,256
fish-swim,dmc,5,7113314.516512526,8e+16,912,256.0,256
fish-swim,dmc,7,10417227.851054229,1.6e+17,1104,256.0,256
hopper-hop,dmc,9,748404.9764642908,5000000000000000.0,272,256.0,256
hopper-hop,dmc,13,1177922.1804367776,1e+16,352,256.0,256
hopper-hop,dmc,20,1853943.6625875207,2e+16,448,256.0,256
humanoid-run,dmc,3,1796519.0299942396,1e+16,448,256.0,256
humanoid-run,dmc,4,2914988.693642892,2e+16,576,256.0,256
humanoid-run,dmc,6,4654093.374086764,4e+16,736,256.0,256
humanoid-run,dmc,9,7430761.286298102,8e+16,928,256.0,256
humanoid-run,dmc,13,11487297.19740331,1.6e+17,1168,256.0,256
humanoid-walk,dmc,4,1417049.7793680362,1e+16,384,256.0,256
humanoid-walk,dmc,6,2306783.269097855,2e+16,512,256.0,256
humanoid-walk,dmc,8,3694659.5232215086,4e+16,640,256.0,256
humanoid-walk,dmc,12,5822211.749502116,8e+16,816,256.0,256
humanoid-walk,dmc,18,9027084.625131913,1.6e+17,1024,256.0,256
pendulum-swingup,dmc,3,1614493.28945616,5000000000000000.0,416,256.0,256
pendulum-swingup,dmc,5,2601490.9084105906,1e+16,544,256.0,256
pendulum-swingup,dmc,7,4125743.0660748705,2e+16,688,256.0,256
pendulum-swingup,dmc,10,6439851.3412192175,4e+16,864,256.0,256
pendulum-swingup,dmc,15,10051931.163143914,8e+16,1088,256.0,256
quadruped-run,dmc,4,2683177.546199472,1e+16,544,256.0,256
quadruped-run,dmc,6,4520697.592665672,2e+16,720,256.0,256
quadruped-run,dmc,9,7379566.187590115,4e+16,928,256.0,256
quadruped-run,dmc,14,11857438.302101515,8e+16,1184,256.0,256
quadruped-run,dmc,21,19052453.696340963,1.6e+17,1504,256.0,256
walker-run,dmc,4,588491.171266308,2500000000000000.0,240,256.0,256
walker-run,dmc,6,974764.2016017276,5000000000000000.0,320,256.0,256
walker-run,dmc,8,1589316.72112572,1e+16,416,256.0,256
walker-run,dmc,13,2550777.6078216415,2e+16,528,256.0,256
walker-run,dmc,19,4093876.5181780364,4e+16,688,256.0,256
