env_name,benchmark,utd,critic_width,critic_params,fitted_batch_size,batch_size_rounded
h1-crawl-v0,humanoid_bench,1,4096,135733448,2768.1506921898276,2768
h1-pole-v0,humanoid_bench,1,4096,135733448,1643.1473274832847,1648
h1-stand-v0,humanoid_bench,1,4096,135733448,1658.9978697773838,1664
h1-crawl-v0,humanoid_bench,2,4096,135733448,1985.9725623489144,1984
h1-pole-v0,humanoid_bench,2,4096,135733448,1699.6119844954405,1696
h1-stand-v0,humanoid_bench,2,4096,135733448,1272.5969282198266,1280
h1-crawl-v0,humanoid_bench,4,4096,135733448,1424.8093608237152,1424
h1-pole-v0,humanoid_bench,4,4096,135733448,1758.0169772511865,1760
h1-stand-v0,humanoid_bench,4,4096,135733448,976.1935028475082,976
h1-crawl-v0,humanoid_bench,8,4096,135733448,1022.2103533443579,1024
h1-pole-v0,humanoid_bench,8,4096,135733448,1818.4289829074746,1824
h1-stand-v0,humanoid_bench,8,4096,135733448,748.8260688596256,752
h1-crawl-v0,humanoid_bench,16,128,178632,19.498864088174365,16
h1-crawl-v0,humanoid_bench,16,256,619208,38.796849663186926,32
h1-crawl-v0,humanoid_bench,16,512,2286792,79.8327265859281,80
h1-crawl-v0,humanoid_bench,16,1024,8767688,167.17586849566896,160
h1-crawl-v0,humanoid_bench,16,2048,34312392,351.64142536489345,352
h1-crawl-v0,humanoid_bench,16,4096,135733448,733.3710987695281,736
h1-pole-v0,humanoid_bench,16,256,619208,59.097242108913356,64
h1-pole-v0,humanoid_bench,16,512,2286792,137.6949466088641,144
h1-pole-v0,humanoid_bench,16,1024,8767688,328.0077033509789,336
h1-pole-v0,humanoid_bench,16,2048,34312392,787.6798602346621,784
h1-pole-v0,humanoid_bench,16,4096,135733448,1880.916969896504,1888
h1-stand-v0,humanoid_bench,16,256,619208,168.55310542926628,176
h1-stand-v0,humanoid_bench,16,512,2286792,551.4359223839116,544
h1-stand-v0,humanoid_bench,16,1024,8767688,574.0468360406603,576
h1-stand-v0,humanoid_bench,16,2048,34312392,574.4100413775992,576
h1-stand-v0,humanoid_bench,16,4096,135733448,574.4152975492138,576
humanoid-stand,dmc,16,128,183240,73.7455491443995,80
humanoid-stand,dmc,16,256,628424,104.41953199776607,112
humanoid-stand,dmc,16,512,2305224,142.98393920459893,144
humanoid-stand,dmc,16,1024,8804552,185.5105658071904,192
humanoid-stand,dmc,16,2048,34386120,226.17597408772846,224
