env_name,benchmark,utd,critic_params,compute_budget,critic_width,batch_size,batch_size_rounded
h1-crawl-v0,humanoid_bench,1,11970526.908281313,1e+16,1200,874.368873931768,880
h1-crawl-v0,humanoid_bench,1,13709469.307274677,2e+16,1280,680.6185228384555,688
h1-crawl-v0,humanoid_bench,3,15614340.195506778,4e+16,1360,535.2043278749045,528
h1-crawl-v0,humanoid_bench,5,17783884.5747039,8e+16,1456,420.8235928191508,416
h1-crawl-v0,humanoid_bench,10,20143050.51642837,1.6e+17,1552,334.2630755230479,336
h1-pole-v0,humanoid_bench,1,7406481.586988862,2e+16,928,685.6588353868344,688
h1-pole-v0,humanoid_bench,1,11309847.215146907,4e+16,1152,713.5044023029614,720
h1-pole-v0,humanoid_bench,2,17270365.49374177,8e+16,1440,741.9405165895568,736
h1-pole-v0,humanoid_bench,2,25990033.76490391,1.6e+17,1776,769.8048468279186,768
h1-pole-v0,humanoid_bench,3,38545411.21502425,3.2e+17,2160,796.8669716605963,800
h1-stand-v0,humanoid_bench,2,6965476.120493708,1e+16,896,436.7224336427521,432
h1-stand-v0,humanoid_bench,2,12836557.671222981,2e+16,1232,545.4126270962365,544
h1-stand-v0,humanoid_bench,3,23656274.17224631,4e+16,1696,680.0420082038453,688
h1-stand-v0,humanoid_bench,3,42055867.69751032,8e+16,2256,835.2529456905161,832
h1-stand-v0,humanoid_bench,4,74766465.54365402,1.6e+17,3024,1023.1065758788591,1024
humanoid-stand,dmc,2,626549.2393321763,2500000000000000.0,240,276.74946684010683,272
humanoid-stand,dmc,4,832023.153600918,5000000000000000.0,288,228.28080025819241,224
humanoid-stand,dmc,7,1104881.284136395,1e+16,336,187.79869989081416,192
humanoid-stand,dmc,11,1456590.1044714763,2e+16,400,154.85948599615244,160
humanoid-stand,dmc,18,1906341.167517153,4e+16,448,128.01639156282192,128
