env_name,benchmark,utd,critic_params,compute_budget,critic_width,batch_size,batch_size_rounded
h1-crawl-v0,humanoid_bench,2,3851107.002325569,1e+16,656,288.10074375702453,288
h1-crawl-v0,humanoid_bench,2,9461848.194721993,2e+16,1056,472.01423085791356,480
h1-crawl-v0,humanoid_bench,2,21693835.18385182,4e+16,1616,742.5445746281358,736
h1-crawl-v0,humanoid_bench,2,47062248.49841281,8e+16,2400,1129.3192806230134,1136
h1-crawl-v0,humanoid_bench,2,100693863.1476025,1.6e+17,3520,1696.0816884835658,1696
h1-pole-v0,humanoid_bench,2,2920555.512182745,2e+16,576,247.39565106247733,240
h1-pole-v0,humanoid_bench,2,6604193.962330305,4e+16,880,387.53828846317754,384
h1-pole-v0,humanoid_bench,2,13936192.742241435,8e+16,1296,583.3788924103616,576
h1-pole-v0,humanoid_bench,2,28605955.35175745,1.6e+17,1856,862.9061584567064,864
h1-pole-v0,humanoid_bench,2,58717663.907332495,3.2e+17,2672,1271.9388183583958,1264
h1-stand-v0,humanoid_bench,2,5672228.97164455,1e+16,816,356.47491530666804,352
h1-stand-v0,humanoid_bench,2,13936192.742241435,2e+16,1296,583.3788924103616,576
h1-stand-v0,humanoid_bench,2,31513634.84866476,4e+16,1952,909.3840788896138,912
h1-stand-v0,humanoid_bench,2,69317172.761554,8e+16,2912,1390.174291682889,1392
h1-stand-v0,humanoid_bench,2,146273335.620113,1.6e+17,4240,2065.610070018041,2064
humanoid-stand,dmc,2,693171.72761554,2500000000000000.0,256,298.8517664018199,304
humanoid-stand,dmc,2,1567455.410205595,5000000000000000.0,416,365.5522981718883,368
humanoid-stand,dmc,2,3400411.9327037027,1e+16,624,433.07393648023043,432
humanoid-stand,dmc,2,7175560.91893692,2e+16,912,499.43161299053367,496
humanoid-stand,dmc,2,15141893.25304352,4e+16,1344,564.2910428588502,560
