env_name,benchmark,utd,critic_params,compute_budget,critic_width,batch_size,batch_size_rounded
h1-crawl-v0,humanoid_bench,3,2309659.92,1e+16,512,180.11870509014645,176
h1-crawl-v0,humanoid_bench,6,2309659.92,2e+16,512,126.78267114450709,128
h1-crawl-v0,humanoid_bench,13,2309659.92,4e+16,512,89.83349928948674,96
h1-pole-v0,humanoid_bench,3,2309659.92,2e+16,512,195.02346714394028,192
h1-pole-v0,humanoid_bench,6,2309659.92,4e+16,512,132.8009751809785,128
h1-pole-v0,humanoid_bench,12,2309659.92,8e+16,512,91.63688785038615,96
h1-stand-v0,humanoid_bench,4,2309659.92,1e+16,512,156.72371449303617,160
h1-stand-v0,humanoid_bench,8,2309659.92,2e+16,512,109.58685405244725,112
h1-stand-v0,humanoid_bench,17,2309659.92,4e+16,512,77.13643106716172,80
humanoid-stand,dmc,1,2309659.92,2500000000000000.0,512,787.3055786401824,784
humanoid-stand,dmc,1,2309659.92,5000000000000000.0,512,498.461653990417,496
humanoid-stand,dmc,3,2309659.92,1e+16,512,322.11337455880323,320
humanoid-stand,dmc,7,2309659.92,2e+16,512,215.37736417986665,208
humanoid-stand,dmc,15,2309659.92,4e+16,512,145.98797226814355,144
