env_name,benchmark,utd,critic_width,critic_params,fitted_batch_size,batch_size_rounded
h1-crawl-v0,humanoid_bench,3,368,1223325.5706338522,126.0438794208994,128
h1-crawl-v0,humanoid_bench,3,720,4422053.464877037,255.98822629437169,256
h1-crawl-v0,humanoid_bench,3,1456,17513092.430623114,544.1666412583443,544
h1-crawl-v0,humanoid_bench,3,2896,68180389.35967264,1134.6634061816176,1136
h1-pole-v0,humanoid_bench,3,368,1223325.5706338522,84.65463345272178,80
h1-pole-v0,humanoid_bench,3,720,4422053.464877037,194.36846140443177,192
h1-pole-v0,humanoid_bench,3,1456,17513092.430623114,471.83656678840083,464
h1-stand-v0,humanoid_bench,3,368,1223325.5706338522,844.312510540133,848
h1-stand-v0,humanoid_bench,3,720,4422053.464877037,1083.9283333542428,1088
h1-stand-v0,humanoid_bench,3,1456,17513092.430623114,1089.6751938764453,1088
humanoid-stand,dmc,3,176,313711.387872117,197.06470768821174,192
humanoid-stand,dmc,3,368,1223325.5706338522,282.1937363361066,288
humanoid-stand,dmc,3,720,4422053.464877037,373.6767799339558,368
humanoid-stand,dmc,3,1456,17513092.430623114,472.016093378664,480
h1-crawl-v0,humanoid_bench,6,368,1223325.5706338522,90.42848963684791,96
h1-crawl-v0,humanoid_bench,6,720,4422053.464877037,183.6553172987897,176
h1-crawl-v0,humanoid_bench,6,1456,17513092.430623114,390.4050534292686,384
h1-crawl-v0,humanoid_bench,6,2896,68180389.35967264,814.0490322784513,816
h1-pole-v0,humanoid_bench,6,368,1223325.5706338522,87.5636816935262,80
h1-pole-v0,humanoid_bench,6,720,4422053.464877037,201.04768506479056,208
h1-pole-v0,humanoid_bench,6,1456,17513092.430623114,488.05062712485665,496
h1-stand-v0,humanoid_bench,6,368,1223325.5706338522,647.6617763922283,640
h1-stand-v0,humanoid_bench,6,720,4422053.464877037,831.4681366180079,832
h1-stand-v0,humanoid_bench,6,1456,17513092.430623114,835.8764828737169,832
humanoid-stand,dmc,6,176,313711.387872117,139.99286994240225,144
humanoid-stand,dmc,6,368,1223325.5706338522,200.46771181354606,208
humanoid-stand,dmc,6,720,4422053.464877037,265.456384694494,272
humanoid-stand,dmc,6,1456,17513092.430623114,335.3156856255946,336
h1-crawl-v0,humanoid_bench,12,368,1223325.5706338522,64.87670623573035,64
h1-crawl-v0,humanoid_bench,12,720,4422053.464877037,131.76104253065293,128
h1-crawl-v0,humanoid_bench,12,1456,17513092.430623114,280.0908658984669,288
h1-crawl-v0,humanoid_bench,12,2896,68180389.35967264,584.0285527348831,592
h1-pole-v0,humanoid_bench,12,368,1223325.5706338522,90.57269565767228,96
h1-pole-v0,humanoid_bench,12,720,4422053.464877037,207.9564317063097,208
h1-pole-v0,humanoid_bench,12,1456,17513092.430623114,504.8218629137868,512
h1-stand-v0,humanoid_bench,12,368,1223325.5706338522,496.8134089724568,496
h1-stand-v0,humanoid_bench,12,720,4422053.464877037,637.8090146159901,640
h1-stand-v0,humanoid_bench,12,1456,17513092.430623114,641.190602986744,640
humanoid-stand,dmc,12,176,313711.387872117,99.44958620250546,96
humanoid-stand,dmc,12,368,1223325.5706338522,142.41033129060634,144
humanoid-stand,dmc,12,720,4422053.464877037,188.57765844462062,192
humanoid-stand,dmc,12,1456,17513092.430623114,238.20503284485034,240
