env_name,benchmark,utd,critic_width,critic_params,fitted_batch_size,batch_size_rounded
h1-crawl-v0,humanoid_bench,3,368,1227421.5706338522,126.27680622202915,128
h1-crawl-v0,humanoid_bench,3,720,4426149.464877037,256.11863445697264,256
h1-crawl-v0,humanoid_bench,3,1456,17517188.430623114,544.2360162102103,544
h1-crawl-v0,humanoid_bench,3,2896,68184485.35967264,1134.6998702854319,1136
h1-pole-v0,humanoid_bench,3,368,1227421.5706338522,84.83804218253057,80
h1-pole-v0,humanoid_bench,3,720,4426149.464877037,194.48474111171083,192
h1-pole-v0,humanoid_bench,3,1456,17517188.430623114,471.9074362615111,464
h1-stand-v0,humanoid_bench,3,368,1227421.5706338522,846.280632159203,848
h1-stand-v0,humanoid_bench,3,720,4426149.464877037,1083.9449758438723,1088
h1-stand-v0,humanoid_bench,3,1456,17517188.430623114,1089.6752531211546,1088
humanoid-stand,dmc,3,176,317807.387872117,197.79360368507236,192
humanoid-stand,dmc,3,368,1227421.5706338522,282.4215854042449,288
humanoid-stand,dmc,3,720,4426149.464877037,373.74424298479664,368
humanoid-stand,dmc,3,1456,17517188.430623114,472.03209905511255,480
